material_id,chem_formula,R$_0$,B,Pb_chemenv,num_Pb_chemenvs,Pb_wyckoff,num_Pb_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Pb_sites,num_CN_env,num_charge_states,PbX_coordn,PbO_coordn,mean_coordn_Pb-X,min_coordn_Pb-X,max_coordn_Pb-X,mean_coordn_Pb-O,min_coordn_Pb-O,max_coordn_Pb-O,mean_Pb_charge,min_Pb_charge,max_Pb_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_PbO_BondL
mp-1105390,Mn7PbO12,3.14946326953744,-0.2255979030208985,Icosahedron,1,1a,1,[0.14688756160212102],0.0,0.14688756160212102,AB7C12,1,1,1,[12.0],[12.0],12.0,12.0,12.0,12.0,12.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Mn-O-Pb,0.026239654343745,-1.9130593667758624,0.0,3,Trigonal,-3,R-3,oxide,,,Mn,,Pb,,"O, P",,,,,"B $\in$ [-1, -0.1]",Negative B,2.74267870100713
mp-1105409,YSb(PbO3)2,2.1270190898932286,0.6806677955860261,Square-face bicapped square antiprism,1,4f,1,[6.397139451944714],1.0,6.397139451944714,ABC2D6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-Pb-Sb-Y,0.014786915010411,-2.093249149156281,2.7691,4,Monoclinic,2/m,C2/c,oxide,,,Y,,Pb,Sb,"O, P, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.564333864400282
mp-1105700,TePb2O5,2.7426629005978747,0.0757597692317965,Pentagonal bipyramid,1,4f,1,[5.735557491148306],1.0,5.735557491148306,AB2C5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",r2SCAN,O-Pb-Te,0.0,-1.567598920833333,2.019599999999999,3,Monoclinic,2/m,C2/c,oxide,,,,,Pb,Te,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.637923501560941
mp-1106215,TiPbO3,2.087747135226838,0.4786253624583573,Square pyramid,1,4h,1,[2.5411604141731132],0.0,2.5411604141731132,ABC3,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,O-Pb-Ti,0.005552316500001,-2.536819134833331,2.316,3,Tetragonal,4/m,I4/m,oxide,,,Ti,,Pb,,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4604788035304432
mp-1173221,Sr4Ca2TlCu4PbO14,1.7577276380137363,1.790502878365008,Octahedron,1,1a,1,[1.07044838159384],0.0,1.07044838159384,ABC2D4E4F14,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Ca-Cu-O-Pb-Sr-Tl,0.025706914182693,-2.076023019743589,0.0,6,Tetragonal,4/mmm,I4/mmm,oxide,,"Ca, Sr",Cu,,"Tl, Pb",,"C, O, P, S",,,,,B > 1,Positive B,2.503243073173334
mp-1173263,Sr2MnBiPbO6,2.7837078372764403,-1.194592085764339,Triangular non-coplanar,1,2c,1,"[2.628057710352433, 2.595211851138551]",0.0,2.611634780745492,ABCD2E6,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Bi-Mn-O-Pb-Sr,0.0,-2.290264262766458,0.0,5,Monoclinic,2,P2,oxide,,Sr,Mn,,"Pb, Bi",B,"O, P, S",,,,,B < -1,Negative B,2.298424457643445
mp-1173474,P2Pb3O8,1.997674946821118,0.5181227619977073,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)",2,2a,1,"[1.5242042074047482, 3.607424698765991, 1.5474179125163632, 1.556399447242852, 1.581332897106777, 1.582443646380909, 3.523725155319452, 3.568561283297264, 1.57057580367876]",0.0,2.2291205613014577,A2B3C8,2,2,1,"[6.0, 9.0]","[6.0, 9.0]",7.5,6.0,9.0,7.5,6.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",GGA,O-P-Pb,0.012889102179343,-2.079437754047763,3.252,3,Monoclinic,m,Pc,oxide,,,,,Pb,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.661769225809399
mp-1173489,Nb2Zn(PbO3)3,2.4046952052429047,0.2856076804615495,"Diminished icosahedron, Triangular cupola, Bicapped octahedron (cap faces with one atom in common)",3,1a,1,"[10.508753842668385, 0.712167888290813, 5.380693133109463]",0.667,5.53387162135622,AB2C3D9,3,3,1,"[3.0, 4.0, 9.0]","[3.0, 4.0, 9.0]",5.333333333333333,3.0,9.0,5.333333333333333,3.0,9.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,Nb-O-Pb-Zn,0.040877414520837,-2.263213024999999,2.436899999999999,4,Triclinic,1,P1,oxide,,,"Zn, Nb",,Pb,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.676722552909867
mp-1173546,Nb4Pb3O13,2.1149220023937425,0.3823181649404785,"Hexagonal bipyramid, Face-capped octahedron",2,"2b, 4k",2,"[15.857338140071326, 2.191673746803762]",0.5,9.024505943437545,A3B4C13,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Nb-O-Pb,0.0,-2.644328347249999,2.2052,3,Orthorhombic,mmm,Pmma,oxide,,,Nb,,Pb,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.647615145927766
mp-1173563,Nb8Pb6O25,2.3837852806029654,0.2386791572945614,"Octahedron, Face-capped octahedron",2,2c,1,"[15.660545087746925, 15.981277121772013, 22.025130781454507]",1.0,17.88898433032448,A6B8C25,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Nb-O-Pb,0.016596918243591,-2.608209020641024,0.4474,3,Monoclinic,2,C2,oxide,,,Nb,,Pb,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.681617509660136
mp-1179959,Pb2O3,1.0223610453342002,1.7973129426362848,"Octahedron, Square-face bicapped trigonal prism",2,"2e, 2a",2,"[0.9523733886693431, 0.816963780316686]",0.0,0.8846685844930146,A2B3,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",r2SCAN,O-Pb,0.024485257249995,-1.090271595000001,0.924199999999999,2,Monoclinic,2/m,P2_1/m,oxide,,,,,Pb,,"O, P",,,,,B > 1,Positive B,2.498903865226624
mp-1182634,B9Pb8O21F,2.018181088070484,0.5262464546800297,"Pentagonal pyramid, Tricapped triangular prism (three square-face caps)",2,"4c, 12f",2,"[5.408836126216141, 4.119059444488985]",0.5,4.763947785352563,AB8C9D21,2,2,1,"[6.0, 9.0]","[5.0, 9.0]",7.5,6.0,9.0,7.0,5.0,9.0,2.0,2.0,2.0,1.5,1,2,"F-, O2-","Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,B-F-O-Pb,0.0,-2.368508859807691,3.4333,4,Trigonal,-3m,R-3c,fluoride,,,,,Pb,B,"O, P",F,,,,"B $\in$ [0.5, 1]",Positive B,2.6517880580626394
mp-1182647,B10Pb3O20,2.210356232302285,0.3452687970721144,"Hexagonal bipyramid, Square-face capped square prism, Pentagonal bipyramid",3,2a,1,"[6.521643361875524, 5.496845642522786, 3.964266750031867]",0.667,5.327585251476726,A3B10C20,3,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,3.33,3.33,3.33,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",GGA,B-O-Pb,0.044882764545465,-2.425929469898988,0.2968,3,Monoclinic,m,Cc,oxide,,,,,Pb,B,"O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.5320007952625687
mp-1183871,CoBP2HPbO9,1.9270946054522509,0.5685971382777596,Square-face bicapped square antiprism,1,2i,1,[5.906797191683086],1.0,5.906797191683086,ABCDE2F9,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,B-Co-H-O-P-Pb,0.030615858599992,-2.319726068313492,3.324,6,Triclinic,-1,P-1,oxide,,,Co,,Pb,B,"H, C, O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.8373214652837744
mp-1187205,Sr2FeCu(PbO3)2,0.9243411104613688,2.4547108165580847,See-saw,1,4h,1,[3.249610345003242],0.0,3.249610345003242,ABC2D2E6,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cu-Fe-O-Pb-Sr,0.001193383333242,-1.989836127916666,0.419299999999999,5,Orthorhombic,mmm,Pmna,oxide,,Sr,"Fe, Cu",,Pb,,"C, O, P, S",F,,,,B > 1,Positive B,2.5265571580103154
mp-1188623,NaPb2IO6,0.5418888794571624,1.7572342768849043,Metabidiminished icosahedron,1,4e,1,[6.154359339296593],1.0,6.154359339296593,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",r2SCAN,I-Na-O-Pb,0.0,-1.117527479249997,2.5426,4,Monoclinic,2/m,P2_1/c,hypoiodite,Na,,,,Pb,,"N, O, P",I,,,,B > 1,Positive B,2.756437176753464
mp-1190246,Ir2Pb2O7,2.0442738625210835,0.2670722838060496,Cube,1,4d,1,[1.974977272626147],0.0,1.974977272626147,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Halogens, Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Ir-O-Pb,0.0,-1.425466649999997,0.152,3,Cubic,m-3m,Fd-3m,oxide,,,Ir,,Pb,,"O, P",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.4494535056229214
mp-1190321,Zn3P2Pb3WO14,1.7302970876336057,0.7493220064883248,Square antiprism,1,3e,1,[3.300765180215271],0.0,3.300765180215271,AB2C3D3E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,O-P-Pb-W-Zn,0.0,-2.180976206925466,3.526399999999999,5,Trigonal,32,P321,oxide,,,"Zn, W",,Pb,,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.7576014886860087
mp-1190411,V2Zn3TePb3O14,1.3915717191465975,1.0612614149903077,Square antiprism,1,3e,1,[2.785365306742188],0.0,2.785365306742188,AB2C3D3E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,O-Pb-Te-V-Zn,0.0,-1.934742160724637,3.1807,5,Trigonal,32,P321,oxide,,,"V, Zn",,Pb,Te,"O, P",,,,,B > 1,Positive B,2.7996283464081912
mp-1190498,Zn3TeP2Pb3O14,1.6623799553208731,0.7785349623204952,Square antiprism,1,3e,1,[3.339209954808593],0.0,3.339209954808593,AB2C3D3E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",SCAN,O-P-Pb-Te-Zn,0.0001110207971,-2.087593965910972,3.2694,5,Trigonal,32,P321,oxide,,,Zn,,Pb,Te,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.715214405888711
mp-1191155,TiP2PbO8,2.736877252099301,0.0215159730613713,Square antiprism,1,2e,1,[4.6442475641774035],0.0,4.6442475641774035,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,O-P-Pb-Ti,0.0,-2.808509416051586,2.5872,4,Monoclinic,2/m,C2/c,oxide,,,Ti,,Pb,,"O, P",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.736667381609057
mp-1191464,UTe(PbO4)2,3.4152644289291323,-0.3922675546142219,Pentagonal bipyramid,1,4e,1,[6.345372434350962],1.0,6.345372434350962,ABC2D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Actinides, Metalloids, Nonmetals, Post-Transition Metals",GGA,O-Pb-Te-U,0.0,-2.284696672638887,1.745,4,Monoclinic,2/m,P2_1/c,oxide,,,,,Pb,Te,"O, P",,,,U,"B $\in$ [-1, -0.1]",Negative B,2.6841255298206113
mp-1191652,CuH2PbSO6,1.2915970422727068,1.1118729035059538,Bicapped octahedron (cap faces with one atom in common),1,2e,1,[7.345250741513487],1.0,7.345250741513487,ABCD2E6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-H-O-Pb-S,0.025163145909093,-1.537423728181817,0.2467,5,Monoclinic,2/m,P2_1/m,oxide,,,Cu,,Pb,,"H, C, O, P, S",,,,,B > 1,Positive B,2.8258311206998936
mp-1192209,As3Pb2BrO6,2.153626558590183,0.3642493611131236,"Square-face capped square prism, Square pyramid",2,2e,1,"[6.574113799091393, 19.90821358078152]",1.0,13.241163689936457,AB2C3D6,2,2,1,"[6.0, 9.0]","[3.0, 8.0]",7.5,6.0,9.0,5.5,3.0,8.0,2.0,2.0,2.0,2.0,2,2,"O2-, Br-","Halogens, Metalloids, Nonmetals, Post-Transition Metals",GGA,As-Br-O-Pb,0.0,-1.616680986458334,3.2587,4,Monoclinic,2/m,P2_1/m,hypobromite,,,,,Pb,"B, As","O, P",Br,,,,"B $\in$ [0.1, 0.5]",Positive B,2.6623220971480794
mp-1192249,Mn3TeP2Pb3O14,1.4570604948682333,0.9918062508143926,Square antiprism,1,6f,1,[3.882649757580307],0.0,3.882649757580307,AB2C3D3E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Mn-O-P-Pb-Te,0.0,-2.15679154911937,2.4566,5,Trigonal,32,P321,oxide,,,Mn,,Pb,Te,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.7644242856190098
mp-1192336,Nb2PbO6,2.4197580464792448,0.17568212279563,"Triangular non-coplanar, Cuboctahedron",2,"1a, 2c",2,"[5.433890171134966, 0.151959583097794]",0.5,2.7929248771163797,AB2C6,2,2,1,"[12.0, 3.0]","[12.0, 3.0]",7.5,3.0,12.0,7.5,3.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Nb-O-Pb,0.000627727327977,-2.744779823333332,2.6492,3,Trigonal,-3,R-3,oxide,,,Nb,,Pb,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.687779218916714
mp-1192421,B2Pb2O5,1.9836991952733047,0.5392041203867318,"Square-face capped trigonal prism, Square pyramid, Octahedron, Trigonal prism, Trigonal bipyramid",5,1a,1,"[13.450594325055443, 13.529349909051069, 11.16681718327885, 14.991296942585844, 15.484965170357121, 9.71798399688932]",1.0,13.05683458786961,A2B2C5,5,4,1,"[3.0, 4.0, 5.0, 6.0]","[3.0, 4.0, 5.0, 6.0]",4.5,3.0,6.0,4.5,3.0,6.0,2.0,2.0,2.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Post-Transition Metals",r2SCAN,B-O-Pb,0.000604865502631,-2.2879729962962942,2.719,3,Triclinic,1,P1,oxide,,,,,Pb,B,"O, P",,,,,"B $\in$ [0.5, 1]",Positive B,2.5077907654213507
mp-1192446,Pb2SeN2O9,2.029572463195494,0.4923756650367701,"Bicapped square prism (opposite faces), Bicapped octahedron (cap faces with one atom in common)",2,2a,1,"[2.748972841995119, 6.009139775732414]",0.5,4.379056308863767,AB2C2D9,2,2,1,"[10.0, 8.0]","[10.0, 8.0]",9.0,8.0,10.0,9.0,8.0,10.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals",r2SCAN,N-O-Pb-Se,0.0,-1.212020458381697,3.245,4,Orthorhombic,mm2,Pmn2_1,oxide,,,,,Pb,,"N, O, P, S, Se",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.7486045690185708
mp-1192530,CsPPbO4,0.2446757442450859,2.067190535210877,Pentagonal bipyramid,1,4c,1,[7.750014060725889],1.0,7.750014060725889,ABCD4,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,2.0,2.0,2.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Cs-O-P-Pb,0.0,-2.42757103775686,4.0581,4,Orthorhombic,mmm,Pnma,oxide,Cs,,,,Pb,,"C, O, P",,,,,B > 1,Positive B,2.755828069141753
mp-1192537,Nb2PbO6,2.418769685056608,0.1777182694985202,"Triangular non-coplanar, Cuboctahedron",2,1a,1,"[5.8403842590649315, 4.9965282912024875, 0.159559972354544]",0.333,3.6654908408739875,AB2C6,2,2,1,"[12.0, 3.0]","[12.0, 3.0]",7.5,3.0,12.0,7.5,3.0,12.0,2.0,2.0,2.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",r2SCAN,Nb-O-Pb,0.000867641402049,-2.74453990925926,2.602999999999999,3,Trigonal,3,R3,oxide,,,Nb,,Pb,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.689885717363472
mp-1192566,VPb2Se2ClO8,2.767070678317759,-0.0083740824056694,"Square-face capped square prism, Square-face bicapped trigonal prism",2,2a,1,"[5.256394167405926, 2.5735645908384432]",0.5,3.9149793791221845,ABC2D2E8,2,2,1,"[8.0, 8.0]","[6.0, 7.0]",8.0,8.0,8.0,6.5,6.0,7.0,2.0,2.0,2.0,2.0,2,2,"Cl-, O2-","Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Cl-O-Pb-Se-V,0.004696214255936,-1.664115679977678,1.5448,5,Monoclinic,2,P2_1,hypochlorite,,,V,,Pb,,"C, O, P, S, Se",Cl,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.761985869320795
