material_id,chem_formula,R$_0$,B,Gd_chemenv,num_Gd_chemenvs,Gd_wyckoff,num_Gd_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Gd_sites,num_CN_env,num_charge_states,GdX_coordn,GdO_coordn,mean_coordn_Gd-X,min_coordn_Gd-X,max_coordn_Gd-X,mean_coordn_Gd-O,min_coordn_Gd-O,max_coordn_Gd-O,mean_Gd_charge,min_Gd_charge,max_Gd_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_GdO_BondL
mp-1178283,Gd4Ga2O9,2.132758364900816,0.3302122361001885,"Face-capped octahedron, Octahedron, Square-face capped trigonal prism",3,4e,1,"[4.024116954120319, 2.595678523000296, 3.620603425201005, 3.079622310312858]",0.0,3.3300053031586194,A2B4C9,3,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",GGA,Ga-Gd-O,0.013590788166666,-3.371509364833331,3.085299999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,,,Ga,,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.4027205248936445
mp-1180408,Na3Gd(PO4)2,2.0735510012643488,0.4031220152291291,"Square-face bicapped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2,2i,1,"[2.213854508202641, 2.243924195701098, 2.676643658613561]",0.0,2.378140787505766,AB2C3D8,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Gd-Na-O-P,0.000566912857142,-2.935628296911212,2.9846999999999992,4,Triclinic,-1,P-1,phosphate,Na,,,,,,"N, O, P",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.435558414201396
mp-1182677,BaGd2CuO5,1.7131265447367228,0.8044288853883794,Square-face capped trigonal prism,1,4c,1,"[1.932265602990244, 1.8622806073080782]",0.0,1.8972731051491611,ABC2D5,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Cu-Gd-O,0.025897405277778,-3.023537846388889,0.377299999999999,4,Orthorhombic,mmm,Pnma,oxide,,Ba,Cu,,,B,"C, O",,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.3823383165634806
mp-1188236,Gd2MgIrO6,0.9628419742422096,1.7081181333326845,Square-face bicapped trigonal prism,1,4e,1,[1.593937966331458],0.0,1.593937966331458,ABC2D6,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Gd-Ir-Mg-O,0.020421078499994,-2.913214504,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,Mg,Ir,,,,O,I,,Gd,,B > 1,Positive B,2.4905041942394828
mp-1189831,Gd3FeO6,1.8789158905294605,0.5980615489827916,Square-face capped trigonal prism,1,"4b, 2a",2,"[2.316450632349158, 3.714484893471748]",0.0,3.015467762910453,AB3C6,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",r2SCAN,Fe-Gd-O,0.005792468249999,-3.342539213999998,2.5521000000000003,3,Orthorhombic,mm2,Cmc2_1,oxide,,,Fe,,,,O,F,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.3875132043362353
mp-1190148,KGd(MoO4)2,2.1435962221559435,0.3366262813900706,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.215758472375106],0.0,2.215758472375106,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Gd-K-Mo-O,0.011663792291667,-2.519533293520833,2.885,4,Triclinic,-1,P-1,oxide,K,,Mo,,,,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.4519244245765504
mp-1190245,Gd2Hf2O7,1.8266411364753108,0.6481378734531607,Cube,1,4d,1,[1.586030436656544],0.0,1.586030436656544,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Gd-Hf-O,0.0,-3.87815299863636,2.8263,3,Cubic,m-3m,Fd-3m,oxide,,,Hf,,,,"H, O",,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.472994774369119
mp-1190458,Gd2ZnTe2(SO7)2,2.2980693801124352,0.1633685551008189,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.744529403938568],0.0,2.744529403938568,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Gd-O-S-Te-Zn,0.0,-2.359405040396824,0.3121,5,Triclinic,-1,P-1,oxide,,,Zn,,,Te,"O, S",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.445784684381474
mp-1190470,Gd2CoTe2(SO7)2,2.276819615852874,0.1822243725934913,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.8207779008583733],0.0,2.8207779008583733,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Co-Gd-O-S-Te,0.0,-2.288061054682539,2.163399999999999,5,Triclinic,-1,P-1,oxide,,,Co,,,Te,"C, O, S",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.4417936400252094
mp-1190515,Gd2CuTe2(SO7)2,2.252186158441773,0.2023941872229429,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.995790685169242],0.0,2.995790685169242,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA,Cu-Gd-O-S-Te,0.0,-2.266265843253967,0.0112,5,Triclinic,-1,P-1,oxide,,,Cu,,,Te,"C, O, S",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.440412127710845
mp-1191117,Gd3SbO7,2.000654358511208,0.457052771645164,"Cube, Pentagonal bipyramid",2,"4g, 2b",2,"[1.186121667215845, 3.704329927081366]",0.0,2.4452257971486056,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,Gd-O-Sb,0.0,-3.362648602727271,2.4705,3,Orthorhombic,mmm,Cmcm,oxide,,,,,,Sb,"O, S",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.415721080619398
mp-1191402,GdMnGe2O7,2.648591315165111,-0.2433092562382854,Square antiprism,1,"1a, 1b",2,"[0.600991057552094, 0.623646140586949]",0.0,0.6123185990695215,ABC2D7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Gd-Ge-Mn-O,0.012645573106064,-2.533880653448276,1.2932,4,Orthorhombic,mmm,Cmme,oxide,,,Mn,,,Ge,O,,,Gd,,"B $\in$ [-1, -0.1]",Negative B,2.407984790467376
mp-1191890,Gd3NbO7,2.0381485469323857,0.4097749641232465,"Cube, Pentagonal bipyramid",2,"4g, 2b",2,"[1.102269350540557, 3.780328887455196]",0.0,2.4412991189978763,AB3C7,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Gd-Nb-O,0.007545668636371,-3.688097532727276,2.3502,3,Orthorhombic,mmm,Cmcm,oxide,,,Nb,,,,"N, O",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.4116992800555677
mp-1191993,CsGd(MoO4)2,1.8055949953327333,0.6492342895700586,Square antiprism,1,2e,1,[0.980776494913782],0.0,0.980776494913782,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Cs-Gd-Mo-O,0.001516599583334,-2.5279756608045982,3.1586,4,Monoclinic,2/m,P2/c,oxide,Cs,,Mo,,,,"C, O",,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.4304458394066586
mp-1192390,Na5Gd4Si4O16F,3.9947750220105376,-1.6057283057881304,Square-face bicapped trigonal prism,1,4g,1,[1.647949445072229],0.0,1.647949445072229,AB4C4D5E16,1,1,1,[8.0],[7.0],8.0,8.0,8.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",GGA,F-Gd-Na-O-Si,0.0,-3.284080261729884,3.0854,5,Tetragonal,-4,I-4,fluoride,Na,,,,,Si,"N, O, S",F,,Gd,,B < -1,Negative B,2.4136533644953215
mp-1192808,GdWBrO4,1.9969981421547425,0.3800628224394913,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face capped trigonal prism",2,2i,1,"[1.474817243964208, 2.623755826144076]",0.0,2.049286535054142,ABCD4,2,2,1,"[8.0, 7.0]","[5.0, 6.0]",7.5,7.0,8.0,5.5,5.0,6.0,3.0,3.0,3.0,2.0,2,2,"Br-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",r2SCAN,Br-Gd-O-W,0.015364337976198,-2.657839921071429,0.6918000000000001,4,Triclinic,-1,P-1,perbromate,,,W,,,B,O,Br,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.394204410314527
mp-1193020,BaGdFe4O7,2.0541580046697283,0.3977722447203939,Octahedron,1,2a,1,[0.43265427028830905],0.0,0.43265427028830905,ABC4D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Fe-Gd-O,0.030996440240389,-2.197967803461537,1.657499999999999,4,Orthorhombic,mm2,Cmc2_1,oxide,,Ba,Fe,,,B,O,F,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.3276964317842963
mp-1194303,GdBO3,2.671345854696332,-0.2436148245801692,Cube,1,"2d, 4f",2,"[2.531209327597046, 2.766123927757259]",0.0,2.6486666276771524,ABC3,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",r2SCAN,B-Gd-O,0.0,-3.499030348166664,3.1001,3,Monoclinic,2/m,C2/c,orthoborate,,,,,,B,O,,,Gd,,"B $\in$ [-1, -0.1]",Negative B,2.408471767485555
mp-1194646,Gd3Te2NO,2.114886665077196,0.2660304364669454,"Single neighbor, Square non-coplanar, T-shaped",3,4c,1,"[0.28905968730419, 6.376217499791678, 0.0]",0.333,2.2217590623652894,ABC2D3,3,3,1,"[4.0, 6.0, 6.0]","[1.0, 3.0, 0]",5.333333333333333,4.0,6.0,2.0,0.0,3.0,3.0,3.0,3.0,2.6666666666666665,2,3,"Te2-, N3-, O2-","Lanthanides, Metalloids, Nonmetals",GGA,Gd-N-O-Te,0.0,-2.33012935404762,0.844499999999999,4,Orthorhombic,mmm,Pnma,oxide,,,,,,Te,"N, O",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.299482083122239
mp-1194728,Ba3NaGd3(Si3O10)2,1.872223311405772,0.6172848831941474,"Square antiprism, Pentagonal bipyramid",2,"4c, 2a",2,"[3.246041996111069, 2.173663927842409]",0.0,2.709852961976739,AB3C3D6E20,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-Gd-Na-O-Si,0.0,-3.479348232314525,3.3773,5,Orthorhombic,mm2,Ama2,oxide,Na,Ba,,,,"B, Si","N, O, S",,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.4279749720372332
mp-1194754,Gd2SeOF2,2.3016800076210746,0.0188408956618886,"Square-face bicapped trigonal prism, Square-face monocapped antiprism",2,6h,1,"[1.351114452460991, 3.059286669254604]",0.0,2.2052005608577976,ABC2D2,2,2,1,"[9.0, 8.0]","[1.0, 3.0]",8.5,8.0,9.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3,3,"F-, Se2-, O2-","Halogens, Lanthanides, Nonmetals",GGA,F-Gd-O-Se,0.0,-3.692913088168403,1.391499999999999,4,Hexagonal,6/m,P6_3/m,fluoride,,,,,,,"O, S, Se",F,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.3087266448849775
mp-1194925,GdB(SO4)3,1.894189398194251,0.5276389674587164,Square antiprism,1,4f,1,[0.546191024328574],0.0,0.546191024328574,ABC3D12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-Gd-O-S,0.0,-2.323451295539215,2.6591,4,Monoclinic,2/m,C2/c,sulfate,,,,,,B,"O, S",,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.4156052022027716
mp-1194926,Cs3Gd(PO4)2,1.5477499270148607,1.1149365285576978,Octahedron,1,2a,1,"[2.689212438486216, 2.517257062942183]",0.0,2.6032347507141997,AB2C3D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Cs-Gd-O-P,0.0,-2.9376609213036597,3.1528,4,Monoclinic,2,P2_1,phosphate,Cs,,,,,,"C, O, P",,,Gd,,B > 1,Positive B,2.3210633901321316
mp-1194955,Na3Gd(CO3)3,2.675107516351711,-0.1848869600845255,Square-face monocapped antiprism,1,2b,1,[4.412115257570963],0.0,4.412115257570963,AB3C3D9,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,C-Gd-Na-O,0.0,-2.371644891039872,0.0,4,Orthorhombic,mm2,Ama2,carbonate,Na,,,,,,"C, N, O",,,Gd,,"B $\in$ [-1, -0.1]",Negative B,2.475924452716203
mp-1195215,Gd6Mo10O39,2.212393134249345,0.2240066451713097,"Square-face bicapped trigonal prism, Square-face capped trigonal prism, Square antiprism",3,4f,1,"[2.802851623305296, 3.632349490983218, 0.8490190779411111]",0.0,2.428073397409875,A6B10C39,3,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Gd-Mo-O,0.024284025522721,-2.559868015272726,2.6567,3,Monoclinic,2/m,C2/c,oxide,,,Mo,,,,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.4202808186444087
mp-1195258,K3GdGe3(HO5)2,2.078312882313768,0.3385706663785907,Octahedron,1,4c,1,[0.231554388077013],0.0,0.231554388077013,AB2C3D3E10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,Gd-Ge-H-K-O,0.0,-2.293487410355263,3.8274,5,Orthorhombic,mmm,Pnma,oxide,K,,,,,Ge,"H, O",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.3186666426954177
mp-1195691,GdBe2B5O11,2.226786795985655,0.2281358013871642,Square antiprism,1,4a,1,[2.849680231077997],0.0,2.849680231077997,AB2C5D11,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-Be-Gd-O,0.0,-3.087406972543859,0.3102,4,Orthorhombic,mm2,Pna2_1,oxide,,Be,,,,B,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.45161355210489
mp-1195696,Gd2(MoO4)3,2.41355691820433,0.0089083696704629,Square-face bicapped trigonal prism,1,4f,1,[2.456846688078583],0.0,2.456846688078583,A2B3C12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Gd-Mo-O,0.023524720294117,-2.612353608235294,3.0587,3,Monoclinic,2/m,C2/c,oxide,,,Mo,,,,O,,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4253054942871826
mp-1196136,Gd2Ge(BO4)2,2.449386375748092,-0.0038361691275771,Square-face capped trigonal prism,1,8d,1,[3.330047887266955],0.0,3.330047887266955,AB2C2D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-Gd-Ge-O,0.014029263910254,-3.175222310833333,3.183799999999999,4,Orthorhombic,mmm,Pbcn,oxide,,,,,,"B, Ge",O,,,Gd,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.4155637962302654
mp-1196563,Gd2B4O9,2.11454788468654,0.3598540098795429,"Square antiprism, Square-face monocapped antiprism, Tricapped triangular prism (three square-face caps), Bicapped square prism (adjacent faces)",4,4f,1,"[3.335449254763396, 4.130710400902006, 3.233469793915101, 2.932678080587013, 5.086549241998385]",0.2,3.74377135443318,A2B4C9,4,3,1,"[10.0, 8.0, 9.0]","[10.0, 8.0, 9.0]",9.0,8.0,10.0,9.0,8.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals",GGA,B-Gd-O,0.035606241252757,-3.247654410844444,2.3766,3,Monoclinic,2/m,C2/c,oxide,,,,,,B,O,,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.5090640533498876
mp-1197749,BaGd2Si3O10,2.075043519432625,0.3317484757887836,Octahedron,1,4f,1,[3.904737762317454],0.0,3.904737762317454,AB2C3D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",r2SCAN,Ba-Gd-O-Si,0.0,-3.5676785271875,0.145799999999999,4,Monoclinic,2/m,P2_1/m,oxide,,Ba,,,,"B, Si","O, S",,,Gd,,"B $\in$ [0.1, 0.5]",Positive B,2.311301566549145
mp-1197842,GdHSO5,1.832465213853035,0.6660984644609784,Tricapped triangular prism (three square-face caps),1,4e,1,[1.844693037725535],0.0,1.844693037725535,ABCD5,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,Gd-H-O-S,0.0,-2.507180131718749,2.9383,4,Monoclinic,2/m,P2_1/c,oxide,,,,,,,"H, O, S",,,Gd,,"B $\in$ [0.5, 1]",Positive B,2.5077377803728385
