material_id,chem_formula,R$_0$,B,I_chemenv,num_I_chemenvs,I_wyckoff,num_I_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_I_sites,num_CN_env,num_charge_states,IX_coordn,IO_coordn,mean_coordn_I-X,min_coordn_I-X,max_coordn_I-X,mean_coordn_I-O,min_coordn_I-O,max_coordn_I-O,mean_I_charge,min_I_charge,max_I_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_IO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1191944,S4I2O15,2.069717127566827,0.40082386778037565,Square plane,1,1a,1,"[3.331348438109818, 2.928418922530004]",0.0,3.129883680319911,A2B4C15,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals",2.1916197755294102,r2SCAN,I-O-S,0.0,-1.4136999673809512,2.374399999999999,3,Triclinic,1,P1,oxide,None,None,None,None,None,None,"O, S",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1191962,CdIClO3,2.065374739184572,0.42717098250134633,Triangular non-coplanar,1,4f,1,[0.765761018512172],0.0,0.765761018512172,ABCD3,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.8473494190851059,GGA,Cd-Cl-I-O,0.004485965208332001,-1.133718695416666,3.3467000000000002,4,Orthorhombic,mmm,Cmce,chlorate,None,None,Cd,None,None,None,"C, O","Cl, I",None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1192231,CuIO4,2.070015742845615,1.157430452463268,See-saw,1,4c,1,[2.181476493535892],0.0,2.181476493535892,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,2.0,2,2,"O-, O2-","Halogens, Nonmetals, Transition Metals",2.2769303740977933,GGA,Cu-I-O,0.0,-0.8176255991666671,0.9536,3,Orthorhombic,mmm,Pnma,periodate,None,None,Cu,None,None,None,"C, O",I,None,None,None,B > 1,Positive B
mp-1192404,RbH2(IO3)3,2.120411996825213,0.6540489034776108,"See-saw, Triangular non-coplanar",2,1a,1,"[0.9391181660122151, 0.8789827578318761, 2.8595000250547793, 3.2662881062243763, 3.982106519190922, 2.971856744916364]",0.0,2.482975386538422,AB2C3D9,2,3,1,"[3.0, 4.0, 6.0]","[3.0, 4.0, 6.0]",4.333333333333333,3.0,6.0,4.333333333333333,3.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals",2.0984509991442484,GGA,H-I-O-Rb,0.0,-1.073732130333334,3.5082999999999993,4,Triclinic,1,P1,iodate,Rb,None,None,None,None,None,"H, O",I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1192770,Rb3In(IO3)6,2.3044777731690544,1.002945938777481,"Triangular non-coplanar, Octahedron",2,"1e, 2i",2,"[0.36020620396201103, 0.625885783246743, 0.608062773840582, 1.416907109183448]",0.0,0.7527654675581961,AB3C6D18,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",2.0117493217751274,GGA,I-In-O-Rb,0.0,-1.239729310327381,2.9749,4,Triclinic,-1,P-1,iodate,Rb,None,None,None,In,None,O,I,None,None,None,B > 1,Positive B
mp-1193007,NaVH2I2O9,1.9887933211188937,0.2638504261256136,Triangular non-coplanar,1,2a,1,"[1.72566412458646, 1.053973980819935]",0.0,1.3898190527031975,ABC2D2E9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",1.8574095460330537,GGA_U,H-I-Na-O-V,0.011701203611110001,-1.410558748925287,3.0634,5,Monoclinic,2,P2_1,oxide,Na,None,V,None,None,None,"H, N, O",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1193499,AgPd(IO3)3,2.0329585170479714,0.3506030889936148,"See-saw, Triangular non-coplanar",2,2i,1,"[1.707787754594623, 1.005616234758036, 2.9932562657955892]",0.0,1.9022200850494162,ABC3D9,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.8555726291656025,GGA,Ag-I-O-Pd,0.021416195714285,-0.736862955833334,1.4039000000000001,4,Triclinic,-1,P-1,iodate,None,None,"Pd, Ag",None,None,None,"O, P",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1193954,LiH6IO7,1.913056945888167,-0.037669233494029605,Octahedron,1,2i,1,[0.20865915444076402],0.0,0.20865915444076402,ABC6D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals",1.9183780770655892,GGA,H-I-Li-O,0.014060105333332,-1.215912313722222,2.36,4,Triclinic,-1,P-1,hypoiodite,Li,None,None,None,None,None,"H, O",I,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1194095,TiAg2(IO3)6,2.023618499207256,0.32241008041505476,See-saw,1,6f,1,[1.8059875063918822],0.0,1.8059875063918822,AB2C6D18,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.8604312745764549,GGA,Ag-I-O-Ti,0.020375361944444,-1.038760822469136,2.433299999999999,4,Trigonal,-3,R-3,iodate,None,None,"Ti, Ag",None,None,None,O,I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1194592,AgI3O8,2.164333550212538,0.8535846363508737,See-saw,1,"4g, 2f, 2e",3,"[3.080706112594004, 1.418339639074438, 2.923204950818047, 1.127837023208939]",0.0,2.1375219314238567,AB3C8,1,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",2.238304147239673,GGA,Ag-I-O,0.0,-0.753021275972222,2.2937,3,Tetragonal,-4,I-4,oxide,None,None,Ag,None,None,None,O,I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1194622,Ba5(IO6)2,1.85854195311117,-0.379342687226168,Octahedron,1,4c,1,"[0.07547445879426501, 0.029104614238956]",0.0,0.0522895365166105,A2B5C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Metalloids, Nonmetals",1.9159362502057353,GGA,Ba-I-O,0.0,-2.299061808157895,2.4411,3,Orthorhombic,mmm,Pnma,hypoiodite,None,Ba,None,None,None,B,O,I,None,None,None,"B $\in$ [-1, -0.1]",Negative B
mp-1194678,Bi2TeIClO8,2.2393804248634117,1.1890405791923073,Triangular non-coplanar,1,2a,1,"[0.7582060700779271, 0.917533114122109]",0.0,0.8378695921000181,ABCD2E8,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.5,1,2,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals",1.9531949852283828,GGA,Bi-Cl-I-O-Te,0.0,-1.40250575974359,2.816799999999999,5,Monoclinic,m,Cc,hypochlorite,None,None,None,None,Bi,"B, Te","C, O","Cl, I",None,None,None,B > 1,Positive B
mp-1194964,ErH4I3O11,2.106467011610124,0.549086171164371,"See-saw, Triangular non-coplanar",2,2i,1,"[3.02647382255521, 1.019601537734752, 0.718494396696516]",0.0,1.5881899189954927,AB3C4D11,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",1.909952218618562,GGA,Er-H-I-O,0.010207870526322,-1.4138823721052631,3.6991,4,Triclinic,-1,P-1,oxide,None,None,None,None,None,None,"H, O",I,None,Er,None,"B $\in$ [0.5, 1]",Positive B
mp-1195201,K2Au(IO3)5,2.1433727146865715,0.7005546099703104,Triangular non-coplanar,1,"4b, 2a",2,"[0.6778762739399431, 0.7236469098806251, 1.646771045216787, 1.4372318712232661]",0.0,1.1213815250651553,AB2C5D15,1,2,1,"[3.0, 6.0]","[3.0, 6.0]",4.5,3.0,6.0,4.5,3.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",2.1717432289263456,GGA,Au-I-K-O,0.0,-1.03311708823913,1.9927000000000001,4,Orthorhombic,mm2,Cmc2_1,iodate,K,None,Au,None,None,None,O,I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1195262,AgBi(IO3)4,2.10962349129036,0.5318707459924237,"See-saw, Triangular non-coplanar",2,2a,1,"[0.9029425598295281, 0.9006472230209961, 4.55665406434784, 1.6232557706616482, 0.9978498550596031, 2.696693592007578, 0.892755942138957, 4.008443056949223]",0.0,2.072405258001922,ABC4D12,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",1.8970726506397755,GGA,Ag-Bi-I-O,0.0,-0.9253991323148141,2.4344,4,Monoclinic,m,Cc,iodate,None,None,Ag,None,Bi,B,O,I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1195485,AgI3O8,2.1108762111955537,0.5564290522217448,See-saw,1,"2a, 2b, 4c",3,"[3.107347435355355, 1.3470603129074, 2.871093678456661, 1.180338181730026]",0.0,2.1264599021123605,AB3C8,1,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",2.197616891520868,GGA,Ag-I-O,0.00037514812500000005,-0.7526461278472211,2.279,3,Orthorhombic,mm2,Pnc2,oxide,None,None,Ag,None,None,None,O,I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1195616,LaAg(IO3)4,2.169975686855989,0.6749883039537085,"See-saw, Triangular non-coplanar",2,2a,1,"[1.467769644469715, 0.809995856980074, 2.912819710028406, 3.893151135411065, 0.8548947443422731, 0.9345852837206761, 0.806438079555537, 4.193219992900247]",0.0,1.9841093059259993,ABC4D12,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",1.9251013155282108,GGA,Ag-I-La-O,0.0,-1.286419559398148,2.6566,4,Monoclinic,m,Cc,iodate,None,None,Ag,None,None,None,O,I,None,La,None,"B $\in$ [0.5, 1]",Positive B
mp-1195789,Sr5(IO6)2,1.9885746352535207,0.49382303222591917,Octahedron,1,"6e, 2b, 4c",3,"[0.37478277545307603, 0.09008491178965901, 0.12371384126729601]",0.0,0.19619384283667704,A2B5C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals",1.9126611725675857,GGA,I-O-Sr,0.0,-2.348817630263159,2.3981,3,Trigonal,-3m,R-3c,hypoiodite,None,Sr,None,None,None,None,"O, S",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1195810,YAg(IO3)4,2.040203944693494,0.3646980666792615,"See-saw, Triangular non-coplanar",2,2a,1,"[0.968517340329974, 0.9596336870449571, 4.287498424372243, 1.537113061328908, 1.082205716417158, 0.9193304786466661, 0.9376948516926391, 3.8436120366080333]",0.0,1.8169506995550724,ABC4D12,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",1.8768557559104837,GGA,Ag-I-O-Y,0.0,-1.265989378703703,2.3928000000000003,4,Monoclinic,m,Cc,iodate,None,None,"Y, Ag",None,None,None,O,I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1196001,NdV2IO9,2.2294466466802865,0.7648840911789537,Triangular non-coplanar,1,4d,1,[1.314855040048244],0.0,1.314855040048244,ABC2D9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",1.8389649770521375,GGA_U,I-Nd-O-V,0.0,-2.295312510384616,2.5118,4,Orthorhombic,mmm,Pbcm,hypoiodite,None,None,V,None,None,None,"N, O",I,None,Nd,None,"B $\in$ [0.5, 1]",Positive B
mp-1196062,Ca5(IO6)2,1.952044945315592,0.3092615007460113,Octahedron,1,"6e, 2b, 4c",3,"[0.300164803265664, 0.153411608378443, 0.131090096052721]",0.0,0.19488883589894268,A2B5C12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,7.0,7.0,7.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals",1.9045086633289499,GGA,Ca-I-O,0.0,-2.35833214131579,2.541299999999999,3,Trigonal,-3m,R-3c,hypoiodite,None,Ca,None,None,None,None,"C, O",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1196065,Cs2I4O11,1.9903700250369787,0.3241566254642999,"See-saw, Triangular non-coplanar",2,"6c, 2a",2,"[2.026480709792678, 0.625978110074738]",0.0,1.326229409933708,A2B4C11,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals",1.9312322655622791,r2SCAN,Cs-I-O,0.0035883426470540002,-1.149741326724137,2.8686,3,Hexagonal,6,P6_3,oxide,Cs,None,None,None,None,None,"C, O",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1196184,LaV2IO9,2.2188798433608,0.7468184325235242,Triangular non-coplanar,1,4d,1,[1.293568855741588],0.0,1.293568855741588,ABC2D9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",1.837630500377182,GGA_U,I-La-O-V,0.0,-2.3229724725,2.51,4,Orthorhombic,mmm,Pbcm,hypoiodite,None,None,V,None,None,None,O,I,None,La,None,"B $\in$ [0.5, 1]",Positive B
mp-1196559,SmV2IO9,2.224854013124828,0.7551249843818588,Triangular non-coplanar,1,4d,1,[1.2854191437177],0.0,1.2854191437177,ABC2D9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",1.8393639910949637,GGA_U,I-O-Sm-V,0.0,-2.295206316153846,2.4889,4,Orthorhombic,mmm,Pbcm,hypoiodite,None,None,V,None,None,None,"O, S",I,None,Sm,None,"B $\in$ [0.5, 1]",Positive B
mp-1196607,NaIn(IO3)4,1.8741865497293357,0.0571397972897517,"Triangular non-coplanar, Octahedron",2,"4e, 2c",2,"[0.374224569147153, 1.025777537664511, 1.010283217173588]",0.0,0.8034284413284173,ABC4D12,2,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Post-Transition Metals",1.8464350164493533,GGA,I-In-Na-O,0.0,-1.137425989891443,3.0219,4,Monoclinic,2/m,P2_1/c,iodate,Na,None,None,None,In,None,"N, O",I,None,None,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1196732,RbH2(IO3)3,2.079867280070978,0.3928706036108086,"See-saw, Triangular non-coplanar",2,4e,1,"[0.7102852032364241, 0.9765496758914681, 1.097398969236612, 1.6702349761006192, 2.883355690820146, 1.818795856832197, 2.8000343728351442, 2.32460130596269, 2.577864078061752]",0.0,1.873235569886339,AB2C3D9,2,3,1,"[3.0, 4.0, 6.0]","[3.0, 4.0, 6.0]",4.333333333333333,3.0,6.0,4.333333333333333,3.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals",2.058154593467374,GGA,H-I-O-Rb,0.0008489680000000001,-1.072883162333333,3.2431,4,Monoclinic,2/m,P2_1/c,iodate,Rb,None,None,None,None,None,"H, O",I,None,None,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1197189,GdH2I3O10,2.2372610487433557,0.8491078034050196,Triangular non-coplanar,1,2a,1,"[0.897209431145157, 0.9834954322440731, 0.9317239879173531]",0.0,0.937476283768861,AB2C3D10,1,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals",1.918515573518486,GGA,Gd-H-I-O,0.010172566250008001,-1.42773733046875,3.1717,4,Monoclinic,2,P2_1,oxide,None,None,None,None,None,None,"H, O",I,None,Gd,None,"B $\in$ [0.5, 1]",Positive B
mp-1197271,EuV2IO9,2.196681996587627,0.7017288539957696,Triangular non-coplanar,1,4d,1,[1.310328822543033],0.0,1.310328822543033,ABC2D9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",1.8384503485812138,GGA_U,Eu-I-O-V,0.008577243269229,-2.128869826346154,0.0,4,Orthorhombic,mmm,Pbcm,hypoiodite,None,None,V,None,None,None,O,I,None,Eu,None,"B $\in$ [0.5, 1]",Positive B
mp-1197503,S5(IO9)2,2.0229317256333923,0.5741145950598863,Square plane,1,4f,1,[3.086148091862474],0.0,3.086148091862474,A2B5C18,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Halogens, Nonmetals",2.2219040947526887,GGA,I-O-S,0.0,-1.441004874100001,2.738,3,Monoclinic,2/m,C2/c,hypoiodite,None,None,None,None,None,None,"O, S",I,None,None,None,"B $\in$ [0.5, 1]",Positive B
mp-1197713,K2H2Se(IO5)2,2.2467881666433684,1.1496773206041613,See-saw,1,4f,1,[2.875636247287032],0.0,2.875636247287032,AB2C2D2E10,1,1,1,[4.0],[4.0],4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals",2.0136007109316294,GGA,H-I-K-O-Se,0.0,-1.307863585255514,3.7575000000000003,5,Monoclinic,2/m,C2/c,hypoiodite,K,None,None,None,None,None,"H, O, S, Se",I,None,None,None,B > 1,Positive B
mp-1198275,PrV2IO9,2.2188296265075858,0.7926740909272747,Triangular non-coplanar,1,4d,1,[1.395561197973348],0.0,1.395561197973348,ABC2D9,1,1,1,[3.0],[3.0],3.0,3.0,3.0,3.0,3.0,3.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Lanthanides, Nonmetals, Transition Metals",1.814170730124508,r2SCAN,I-O-Pr-V,0.0,-2.2937656128205273,2.5277000000000003,4,Orthorhombic,mmm,Pbcm,hypoiodite,None,None,V,None,None,None,"O, P",I,None,Pr,None,"B $\in$ [0.5, 1]",Positive B
