material_id,chem_formula,R$_0$,B,Rh_chemenv,num_Rh_chemenvs,Rh_wyckoff,num_Rh_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Rh_sites,num_CN_env,num_charge_states,RhX_coordn,RhO_coordn,mean_coordn_Rh-X,min_coordn_Rh-X,max_coordn_Rh-X,mean_coordn_Rh-O,min_coordn_Rh-O,max_coordn_Rh-O,mean_Rh_charge,min_Rh_charge,max_Rh_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_RhO_BondL
mp-1207705,TmRhO3,1.991158482461843,0.084743405488548,Octahedron,1,4a,1,[0.12062937007216001],0.0,0.12062937007216001,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Rh-Tm,0.0,-2.607933880000002,0.9564999999999992,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,O,,,Tm,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0495465126163173
mp-1208626,SrRhO3,1.949244952534238,0.1490634108399702,Octahedron,1,4a,1,[0.005859886877667001],0.0,0.005859886877667001,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",r2SCAN,O-Rh-Sr,0.005810413749995,-2.015733355,0.0,3,Orthorhombic,mmm,Pnma,oxide,,Sr,Rh,,,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0097641687803005
mp-1208805,Sr4FeRh2O9,2.005732399312764,0.1004351283278941,Octahedron,1,"2d, 2c",2,"[0.7926332240528191, 0.738696887509631, 0.5309180982638101]",0.0,0.6874160699420867,AB2C4D9,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-O-Rh-Sr,0.0,-2.313339266562499,0.0,4,Trigonal,32,P321,oxide,,Sr,"Fe, Rh",,,,"O, S",F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0579781740653775
mp-1210084,NaRh(SO4)2,1.8693035115743808,0.2845248621491177,Octahedron,1,1a,1,[0.17803712953573],0.0,0.17803712953573,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Na-O-Rh-S,0.0,-1.755552869698275,1.2372,4,Monoclinic,2/m,C2/m,sulfate,Na,,Rh,,,,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0667491953597388
mp-1210337,Sr5(RhO3)4,1.991299657784276,0.1385564392922547,"Trigonal prism, Octahedron",2,"2b, 4c, 4d, 2a",4,"[0.897160336360281, 1.600439965835096, 0.47133364623830704, 2.415275728105512, 3.242367258923887, 0.36810209175768205, 2.68971958120423]",0.0,1.6691998012035707,A4B5C12,2,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Rh-Sr,0.005356268124996,-2.1701917890476192,0.0,3,Trigonal,-3m,P-3c1,oxide,,Sr,Rh,,,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.068284204307567
mp-1212108,HoRhO3,1.9540952434468188,0.1435903526083323,Octahedron,1,4a,1,[0.115606004877204],0.0,0.115606004877204,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Ho-O-Rh,0.0,-2.587439952000004,0.9605999999999992,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,"H, O",,,Ho,,"B $\in$ [0.1, 0.5]",Positive B,2.0527392191872065
mp-1212884,DyRhO3,1.942182795124448,0.1638304043670234,Octahedron,1,4a,1,[0.109653332606683],0.0,0.109653332606683,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Dy-O-Rh,0.0,-2.581603258333331,0.8883000000000001,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.054609889638128
mp-1213022,ErRhO3,1.9712675436495688,0.1161991069297,Octahedron,1,4a,1,[0.117291581029204],0.0,0.117291581029204,ABC3,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,Er-O-Rh,0.0,-2.596618729999998,0.9642,3,Orthorhombic,mmm,Pnma,oxide,,,Rh,,,,O,,,Er,,"B $\in$ [0.1, 0.5]",Positive B,2.0509737596832474
mp-1214944,AgRh(SO4)2,1.8795757923065544,0.2632392991634523,Octahedron,1,1a,1,[0.26844539691088604],0.0,0.26844539691088604,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Ag-O-Rh-S,0.0,-1.462540507222221,1.1739,4,Monoclinic,2/m,C2/m,sulfate,,,"Rh, Ag",,,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.062250458280295
mp-1218503,Sr8RuRh3O16,2.0346659568341865,0.0358265696794859,Octahedron,1,"1a, 1d, 1b",3,"[0.040808500106320006, 0.058080937386034, 0.05857206517284601]",0.0,0.05248716755506668,AB3C8D16,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Rh-Ru-Sr,0.0,-2.405361412142857,0.0,4,Tetragonal,-4,I-4,oxide,,Sr,"Ru, Rh",,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0393093574851004
mp-1218903,Sr(RhO2)4,1.9981595055683887,0.0625670855643221,Octahedron,1,2c,1,"[0.9776273954464331, 0.7561263642696691]",0.0,0.8668768798580511,AB4C8,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Rh-Sr,0.03706077484614,-1.495590036153844,0.068099999999999,3,Monoclinic,2,C2,oxide,,Sr,Rh,,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0473283107567473
mp-1219164,Sm2MnRhO6,1.9839634933191044,0.1428484216796862,Octahedron,1,2b,1,[0.115822810703642],0.0,0.115822810703642,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Mn-O-Rh-Sm,0.017539728999999,-2.742511040793104,1.037,4,Monoclinic,2/m,P2_1/c,oxide,,,"Mn, Rh",,,,"O, S",,,Sm,,"B $\in$ [0.1, 0.5]",Positive B,2.083455069680077
mp-1219893,Pr2MnRhO6,1.9504380762337388,0.1971989604502976,Octahedron,1,2b,1,[0.10131448856461801],0.0,0.10131448856461801,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Mn-O-Pr-Rh,0.0160953665,-2.691347834126438,0.369199999999999,4,Monoclinic,2/m,P2_1/c,oxide,,,"Mn, Rh",,,,"O, P",,,Pr,,"B $\in$ [0.1, 0.5]",Positive B,2.087785869080181
mp-1220508,Nd2MnRhO6,1.97318012178587,0.1541402086749885,Octahedron,1,2b,1,[0.079580818625978],0.0,0.079580818625978,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Mn-Nd-O-Rh,0.016931908749997,-2.712388709293104,0.4194,4,Monoclinic,2/m,P2_1/c,oxide,,,"Mn, Rh",,,,"N, O",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,2.0805358417057342
mp-1221126,NaCd(RhO2)4,2.044580755239193,0.0486196938075146,Octahedron,1,2e,1,"[0.897759387069443, 0.9486178356407361, 0.6069717245906421, 0.8403970951619091]",0.0,0.8234365106156825,ABC4D8,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cd-Na-O-Rh,0.034473051250002,-1.262610250098521,0.0,4,Monoclinic,2/m,P2_1/m,oxide,Na,,"Rh, Cd",,,,"C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0662035497662843
mp-1221278,Na3Cd(RhO2)8,2.032406072474405,0.0515395521897135,no_data,1,no_data,1,no_data,0.0,no_data,AB3C8D16,2,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cd-Na-O-Rh,0.017401875089286,-1.324242676219211,0.0,4,Monoclinic,m,Pm,oxide,Na,,"Rh, Cd",,,,"C, N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0612945119171546
mp-1222349,LiGeRhO4,1.9765831512663945,0.1327485424042713,Octahedron,1,2b,1,[1.241519882729212],0.0,1.241519882729212,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ge-Li-O-Rh,0.0,-1.891799774761904,1.689499999999999,4,Orthorhombic,mmm,Imma,oxide,Li,,Rh,,,Ge,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0687231738788863
mp-1222352,LiTiRhO4,2.008380072725412,0.0991259451487364,Octahedron,1,2a,1,[0.694486906914054],0.0,0.694486906914054,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-O-Rh-Ti,0.000864951428572,-2.420648552380952,1.0782,4,Orthorhombic,mmm,Imma,oxide,Li,,"Ti, Rh",,,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.077180783570332
mp-1222353,LiMnRhO4,1.924426653712682,0.1633190314067105,Octahedron,1,2b,1,[1.090191858770946],0.0,1.090191858770946,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",r2SCAN,Li-Mn-O-Rh,0.0,-1.7718442451806231,0.043499999999999,4,Orthorhombic,mmm,Imma,oxide,Li,,"Mn, Rh",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0377837071714464
mp-1222456,LiRuRhO4,1.978935847680741,0.1323345460098114,Octahedron,1,2a,1,[0.572128090368758],0.0,0.572128090368758,ABCD4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Li-O-Rh-Ru,0.034332274285714,-1.479422784047619,0.0,4,Orthorhombic,mmm,Imma,oxide,Li,,"Ru, Rh",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0707885276336557
mp-1222530,LiFe2Rh3O8,1.922225018593693,0.2116833305937701,Octahedron,1,3b,1,[0.411073750912463],0.0,0.411073750912463,AB2C3D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Li-O-Rh,0.011428873303571,-1.436815397380952,0.8435,4,Trigonal,3m,R3m,oxide,Li,,"Fe, Rh",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0735673040291314
mp-1222686,LiCuRu2(RhO4)2,1.9374923579742829,0.1885046949327632,Octahedron,1,2d,1,[1.033674875448536],0.0,1.033674875448536,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Transition Metals",GGA,Cu-Li-O-Rh-Ru,0.041019591428572,-1.30284280595238,0.0,5,Orthorhombic,mm2,Imm2,oxide,Li,,"Cu, Ru, Rh",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.068330766127857
mp-1223163,La4ZnCu(RhO6)2,2.051217257346413,-0.0393339612358192,Octahedron,1,"1a, 1h",2,"[0.012968065333378001, 0.009314491308989]",0.0,0.011141278321183501,ABC2D4E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Cu-La-O-Rh-Zn,0.007706238937495,-2.5756132635,0.0,5,Triclinic,-1,P-1,oxide,,,"Cu, Zn, Rh",,,,"C, O",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.035194341130794
mp-1223214,La2NiRhO6,2.007435129392728,0.0713910890840902,Octahedron,1,4e,1,[0.013327942457930002],0.0,0.013327942457930002,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,La-Ni-O-Rh,0.0,-2.5721824465000003,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Ni, Rh",,,,"N, O",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.036516412860475
mp-1223365,La2CuRhO6,2.054723864442358,-0.0156150779434281,Octahedron,1,2a,1,[0.009344875238423],0.0,0.009344875238423,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Cu-La-O-Rh,0.009731508875002,-2.49391497,0.0,4,Monoclinic,2/m,P2_1/c,oxide,,,"Cu, Rh",,,,"C, O",,,La,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.048363296996024
mp-1223691,La3ZnCuRh2PbO12,1.9814363482431632,0.1427721060761672,Octahedron,1,1a,1,"[0.022887332276917003, 0.07612781964081801]",0.0,0.049507575958867504,ABCD2E3F12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Cu-La-O-Pb-Rh-Zn,0.028233964479167,-2.249769505249999,0.0,6,Triclinic,1,P1,oxide,,,"Cu, Zn, Rh",,Pb,,"C, O, P",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.0396629558559813
mp-1227404,Ca2IrRhO6,1.8317035559814272,0.478395571397742,Octahedron,1,1a,1,[0.772531117101496],0.0,0.772531117101496,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",r2SCAN,Ca-Ir-O-Rh,0.0,-2.106184376999999,0.0,4,Monoclinic,2/m,C2/m,oxide,,Ca,"Rh, Ir",,,,"C, O",I,,,,"B $\in$ [0.1, 0.5]",Positive B,2.026082664881671
mp-1227633,Be3Bi(RhO2)9,1.855055964852522,0.323566080797297,Octahedron,1,6f,1,"[0.7460889909555961, 0.9608420741090371, 1.001815511944575]",0.0,0.902915525669736,AB3C9D18,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Be-Bi-O-Rh,0.01955201108871,-1.518134520483871,0.414,4,Trigonal,-3,R-3,oxide,,Be,Rh,,Bi,B,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.078830581529105
mp-1227635,CeBi2(Rh2O5)3,2.0647363296076016,-0.0090261496706096,Octahedron,1,2c,1,"[0.7689628817478991, 0.758886644411439, 0.7570820067989531, 0.739031122898534, 0.7663685703364891, 0.724264148674111, 0.7325734282322011, 0.671704343755654, 0.6691100633225561, 0.743453265538709, 0.781589379951926, 0.77756618770953]",0.0,0.7408826702815001,AB2C6D15,1,2,2,"[6.0, 6.0]","[6.0, 6.0]",6.0,6.0,6.0,6.0,6.0,6.0,3.5,3.0,4.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-Ce-O-Rh,0.014524331979171,-1.372933771145819,0.0,4,Monoclinic,m,Pm,oxide,,,Rh,,Bi,B,"C, O",,,Ce,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.059438276908515
mp-1228344,Ba6Ho2Al2Rh2O15,1.353606683155263,1.3710592633666514,Square pyramid,1,2c,1,[0.09142127851147501],0.0,0.09142127851147501,A2B2C2D6E15,1,1,1,[5.0],[5.0],5.0,5.0,5.0,5.0,5.0,5.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Ba-Ho-O-Rh,0.025456861222211,-2.937138739074074,0.0,5,Orthorhombic,mm2,Amm2,oxide,,Ba,Rh,,Al,B,"H, O",,,Ho,,B > 1,Positive B,2.0531614481030296
mp-1228749,AsRhO4,1.9531559499449955,0.1062888744552566,Octahedron,1,1c,1,[0.35733830525158805],0.0,0.35733830525158805,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Metalloids, Nonmetals, Transition Metals",GGA,As-O-Rh,0.047913951249999,-1.090285552499992,0.0,3,Orthorhombic,mmm,Cmmm,oxide,,,Rh,,,As,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.027618669458288
