material_id,chem_formula,R$_0$,B,Dy_chemenv,num_Dy_chemenvs,Dy_wyckoff,num_Dy_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Dy_sites,num_CN_env,num_charge_states,DyX_coordn,DyO_coordn,mean_coordn_Dy-X,min_coordn_Dy-X,max_coordn_Dy-X,mean_coordn_Dy-O,min_coordn_Dy-O,max_coordn_Dy-O,mean_Dy_charge,min_Dy_charge,max_Dy_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_DyO_BondL
mp-1192153,LiDy(WO4)2,2.287762696316308,0.007012308015928,Octahedron,1,2e,1,[1.384470732251014],0.0,1.384470732251014,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Li-O-W,0.0,-2.662636796666666,3.786799999999999,4,Monoclinic,2/m,P2/c,oxide,Li,,W,,,,O,,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.293140844744899
mp-1192384,DyWBrO4,1.8898747448312,0.4726072142529537,"Dodecahedron with triangular faces - p2345 plane normalized, Square-face capped trigonal prism",2,2i,1,"[1.616492837694922, 2.799646750476229]",0.0,2.208069794085575,ABCD4,2,2,1,"[8.0, 7.0]","[5.0, 6.0]",7.5,7.0,8.0,5.5,5.0,6.0,3.0,3.0,3.0,2.0,2,2,"Br-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Br-Dy-O-W,0.03594441916667,-2.665898297023808,2.651,4,Triclinic,-1,P-1,perbromate,,,W,,,B,O,Br,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.383791197150052
mp-1192543,Na5Dy4Si4O16F,3.944070960163912,-1.5880375449198425,Square-face bicapped trigonal prism,1,4g,1,[1.637621796098856],0.0,1.637621796098856,AB4C4D5E16,1,1,1,[8.0],[7.0],8.0,8.0,8.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",GGA,Dy-F-Na-O-Si,0.0,-3.3194081639521062,4.7514,5,Tetragonal,-4,I-4,fluoride,Na,,,,,Si,"N, O, S",F,,Dy,,B < -1,Negative B,2.3815427388737924
mp-1192895,BaDyFe4O7,2.0491476893773526,0.364979873852097,Octahedron,1,2a,1,[0.828550353838137],0.0,0.828550353838137,ABC4D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Dy-Fe-O,0.025714022335163,-2.224183886666665,1.7414,4,Monoclinic,2,P2_1,oxide,,Ba,Fe,,,B,O,F,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.3030667165349663
mp-1194579,Dy2SeOF2,2.275408331800073,-0.0060507233303582,"Square-face bicapped trigonal prism, Square-face monocapped antiprism",2,6h,1,"[1.33914050036371, 3.088568215610311]",0.0,2.2138543579870102,ABC2D2,2,2,1,"[9.0, 8.0]","[1.0, 3.0]",8.5,8.0,9.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3,3,"F-, Se2-, O2-","Halogens, Lanthanides, Nonmetals",GGA,Dy-F-O-Se,0.0,-3.736781991223956,2.8497999999999992,4,Hexagonal,6/m,P6_3/m,fluoride,,,,,,,"O, S, Se",F,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.268093548426064
mp-1194796,Na2Dy2B2TeO10,1.499226451545831,1.033287163208745,Square-face capped trigonal prism,1,4e,1,[2.548301438805487],0.0,2.548301438805487,AB2C2D2E10,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-Dy-Na-O-Te,0.0,-2.850698097417173,2.8880999999999992,5,Monoclinic,2/m,P2_1/c,oxide,Na,,,,,"B, Te","N, O",,,Dy,,B > 1,Positive B,2.339041650580979
mp-1195063,BaDy2Si3O10,2.031344181348583,0.3659644338518984,Octahedron,1,4f,1,[4.074091238093421],0.0,4.074091238093421,AB2C3D10,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,Ba-Dy-O-Si,0.0,-3.604172741770831,4.8053,4,Monoclinic,2/m,P2_1/m,oxide,,Ba,,,,"B, Si","O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.2928739723210234
mp-1196433,Dy4B4O11F2,2.3614832021865886,0.1134561909372189,"Square-face monocapped antiprism, Square-face bicapped square antiprism",2,4f,1,"[2.008617075621787, 1.836233428692471]",0.0,1.922425252157129,A2B4C4D11,2,2,1,"[9.0, 10.0]","[6.0, 9.0]",9.5,9.0,10.0,7.5,6.0,9.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals",GGA,B-Dy-F-O,0.030831128571419,-3.560679379920634,5.4755,4,Monoclinic,2/m,C2/c,fluoride,,,,,,B,O,F,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.44993974583599
mp-1196716,Dy(NO3)3,2.2292169947620475,0.2226249455725684,Square-face bicapped square antiprism,1,4e,1,[3.53882089963093],0.0,3.53882089963093,AB3C9,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,Dy-N-O,0.0,-1.454962875128206,3.4144,3,Monoclinic,2/m,P2_1/c,nitrate,,,,,,,"N, O",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.4912756361623374
mp-1196991,DyHSO5,1.8604966746461715,0.5606669409662324,Square antiprism,1,4e,1,"[1.112653696454117, 0.977258235475921]",0.0,1.044955965965019,ABCD5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",GGA,Dy-H-O-S,0.0,-2.543162986145833,5.5844000000000005,4,Monoclinic,2/m,P2_1/c,oxide,,,,,,,"H, O, S",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4053889847592766
mp-1197688,KDyH2S2O9,1.7774505822512807,0.6302497930168784,Dodecahedron with triangular faces - p2345 plane normalized,1,4e,1,[1.658808653417006],0.0,1.658808653417006,ABC2D2E9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Dy-H-K-O-S,0.034903985583331,-2.259011105427778,4.726100000000001,5,Monoclinic,2/m,P2_1/c,oxide,K,,,,,,"H, O, S",,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.3993435017292697
mp-1197813,Na2DyPWO8,1.939332008402333,0.4769619932438637,Dodecahedron with triangular faces - p2345 plane normalized,1,4d,1,[0.530098269966055],0.0,0.530098269966055,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Na-O-P-W,0.007475442307702,-2.802022066082164,4.7314,5,Orthorhombic,mmm,Ibca,oxide,Na,,W,,,,"N, O, P",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.3727922752383295
mp-1200746,Dy2VO5,2.0921119585943004,0.3237752206821692,"Face-capped octahedron, Square-face capped trigonal prism",2,4e,1,"[2.9328334942847842, 3.907267401697837]",0.0,3.4200504479913105,AB2C5,2,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-O-V,0.04216887625,-3.443070702291667,1.747399999999999,3,Monoclinic,2/m,P2_1/c,oxide,,,V,,,,O,,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.352470973975918
mp-1201047,Dy4BClO7,1.9695664825862689,0.454768554198556,"Face-capped octahedron, Square-face capped trigonal prism, Trigonal prism",3,4e,1,"[2.066439164803593, 4.433800292450534, 7.911512818622575, 2.04761404935381]",0.25,4.114841581307628,ABC4D7,3,4,1,"[6.0, 6.0, 7.0, 8.0]","[5.0, 6.0, 6.0, 7.0]",6.75,6.0,8.0,6.0,5.0,7.0,3.0,3.0,3.0,1.75,1,2,"Cl-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals",GGA,B-Cl-Dy-O,0.0,-3.729574157564101,4.7369,4,Monoclinic,2/m,P2_1/c,hypochlorite,,,,,,B,"C, O",Cl,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.3314114937147883
mp-1203431,Dy5B2(O2F3)3,1.9911739435594848,0.3833172107943955,"Square-face monocapped antiprism, Tricapped triangular prism (three square-face caps)",2,"4f, 2e",2,"[1.0541640032068471, 1.619481900493479, 2.166167884722671]",0.0,1.6132712628076658,A2B5C6D9,2,2,1,"[8.0, 9.0]","[3.0, 4.0]",8.5,8.0,9.0,3.5,3.0,4.0,3.0,3.0,3.0,2.0,2,2,"F-, O2-","Halogens, Lanthanides, Metalloids, Nonmetals",GGA,B-Dy-F-O,0.003921370113636,-4.032430413939393,5.960999999999999,4,Monoclinic,2/m,C2/c,fluoride,,,,,,B,O,F,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.4029953086900266
mp-1207068,BaDyFeCuO5,1.5877109318232994,0.8395548416718528,Cube,1,1b,1,[0.033537943951132],0.0,0.033537943951132,ABCDE5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",GGA_U,Ba-Cu-Dy-Fe-O,0.0,-2.480258880740739,0.0,5,Tetragonal,4mm,P4mm,oxide,,Ba,"Fe, Cu",,,B,"C, O",F,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.412257429795306
mp-1208858,Sr2DyBiO6,2.286597757283032,-0.0449964534391901,Octahedron,1,2d,1,[0.07717573272091201],0.0,0.07717573272091201,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Bi-Dy-O-Sr,0.0,-2.8561096071666663,1.884199999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,,,Bi,B,"O, S",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.255340602721254
mp-1208889,Sr2DyTaO6,2.267142983734093,-0.006509871886719,Octahedron,1,2d,1,[0.044511707236547],0.0,0.044511707236547,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-O-Sr-Ta,0.0,-3.6002561944,3.849599999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Sr,Ta,,,,"O, S",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.2626213873258916
mp-1209245,RbDy(MoO4)2,2.66024591226166,-0.2069073538684135,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[1.4766962346645611],0.0,1.4766962346645611,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Mo-O-Rb,0.022594333125001,-2.524053706597222,3.1708,4,Monoclinic,2/m,C2/c,oxide,Rb,,Mo,,,,O,,,Dy,,"B $\in$ [-1, -0.1]",Negative B,2.4273614829223087
mp-1209371,RbDy(MoO4)2,1.7726918821321322,0.6605132958448197,Square antiprism,1,4c,1,[1.025327927346171],0.0,1.025327927346171,ABC2D8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Dy-Mo-O-Rb,0.0,-2.546648039722222,3.6073,4,Orthorhombic,mmm,Pbcn,oxide,Rb,,Mo,,,,O,,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4036702480370113
mp-1209529,RbDyP2O7,1.990978009699654,0.3814663347005675,Octahedron,1,4e,1,[0.29670276798642403],0.0,0.29670276798642403,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Dy-O-P-Rb,0.0,-3.144552660313851,4.9848,4,Monoclinic,2/m,P2_1/c,oxide,Rb,,,,,,"O, P",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.25567399079179
mp-1209630,Sr3Dy2(BO3)4,1.9625249518942889,0.4959693189262166,"Dodecahedron with triangular faces - p2345 plane normalized, Pentagonal bipyramid",2,4a,1,"[5.110781754490896, 3.423525373515819]",0.5,4.267153564003357,A2B3C4D12,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",GGA,B-Dy-O-Sr,0.010409767916661,-3.367470948809522,4.5247,4,Orthorhombic,mm2,Pna2_1,orthoborate,,Sr,,,,B,"O, S",,,Dy,,"B $\in$ [0.1, 0.5]",Positive B,2.4156050571278294
mp-1210216,Na4Dy2(IrO4)3,1.3697474557472842,0.9868707356326368,Tricapped triangular prism (three square-face caps),1,2d,1,[0.873455488713044],0.0,0.873455488713044,A2B3C4D12,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Halogens, Lanthanides, Nonmetals, Transition Metals",GGA,Dy-Ir-Na-O,0.0,-2.108435732802408,0.0,4,Hexagonal,-6m2,P-62m,oxide,Na,,Ir,,,,"N, O",I,,Dy,,"B $\in$ [0.5, 1]",Positive B,2.4735412067614075
mp-1211075,Na3Dy(PO4)2,2.4556278313787963,-0.0861087521250125,Square-face bicapped trigonal prism,1,4a,1,"[3.14463150481, 3.444404390107176]",0.0,3.294517947458588,AB2C3D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",GGA,Dy-Na-O-P,0.0,-2.94623971250645,4.9519,4,Orthorhombic,mm2,Pca2_1,phosphate,Na,,,,,,"N, O, P",,,Dy,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.382406920978869
