material_id,chem_formula,R$_0$,B,Ta_chemenv,num_Ta_chemenvs,Ta_wyckoff,num_Ta_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ta_sites,num_CN_env,num_charge_states,TaX_coordn,TaO_coordn,mean_coordn_Ta-X,min_coordn_Ta-X,max_coordn_Ta-X,mean_coordn_Ta-O,min_coordn_Ta-O,max_coordn_Ta-O,mean_Ta_charge,min_Ta_charge,max_Ta_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_TaO_BondL
mp-1046105,Ta2VZn2O8,1.963261094343845,0.3450534757187539,Octahedron,1,8f,1,[1.096003115439809],0.0,1.096003115439809,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,O-Ta-V-Zn,0.028057840769264,-2.690851440935897,0.8167000000000001,4,Monoclinic,2/m,C2/c,oxide,,,"V, Zn, Ta",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0268780980023906
mp-1046115,Ta2Zn2FeO8,1.962251049231316,0.3181883091211409,Octahedron,1,1a,1,"[1.047436727836099, 1.036281643517898, 1.155838272184002, 1.154120858064658, 1.156276023464497, 1.151739986059257, 1.046736053851789, 1.028110310177106]",0.0,1.0970674843944133,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA_U,Fe-O-Ta-Zn,0.022217909230773,-2.589419343051282,3.4513,4,Monoclinic,2/m,C2/c,oxide,,,"Fe, Zn, Ta",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0283911261796845
mp-1046118,Mg2Ta2FeO8,1.9342561706841568,0.7422596805142322,Octahedron,1,4f,1,[1.065463515770593],0.0,1.065463515770593,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Transition Metals",GGA_U,Fe-Mg-O-Ta,0.008136984437886,-3.006367800743589,3.667,4,Monoclinic,2/m,C2/c,oxide,,Mg,"Fe, Ta",,,,O,F,,,,"B $\in$ [0.5, 1]",Positive B,2.0441517319843787
mp-1046134,Mg2Ta2NiO8,1.9382383659879447,0.7098565537152193,Octahedron,1,8f,1,[1.037913008388356],0.0,1.037913008388356,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA_U,Mg-Ni-O-Ta,0.017765058974351,-2.950889255358974,2.584599999999999,4,Monoclinic,2/m,C2/c,oxide,,Mg,"Ni, Ta",,,,"N, O",,,,,"B $\in$ [0.5, 1]",Positive B,2.04308327749218
mp-1046140,Ta2Zn2NiO8,1.961960990407119,0.3051440876364434,Octahedron,1,4i,1,"[1.069374328121578, 1.07637177748703]",0.0,1.072873052804304,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Ni-O-Ta-Zn,0.019010797307695,-2.533209058435898,3.6028,4,Monoclinic,2/m,C2/c,oxide,,,"Ni, Zn, Ta",,,,"N, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0253784375259536
mp-1046160,Ta2Zn2CoO8,1.9634428132847777,0.3069262901399004,Octahedron,1,1a,1,"[1.069453915627496, 1.076610947343039, 1.071046451608124, 1.063071921151723, 1.07250472677876, 1.076705678609143, 1.067893153611597, 1.07812690631675]",0.0,1.071926712630829,AB2C2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,Co-O-Ta-Zn,0.024120024807697,-2.5407889028589743,0.0,4,Monoclinic,-1,C2/c,oxide,,,"Co, Zn, Ta",,,,"C, O",,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0272420165248977
mp-1078748,Sr2TaInO6,2.003247006917092,-0.0053458979081925,Octahedron,1,1d,1,[0.014707107185290001],0.0,0.014707107185290001,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-O-Sr-Ta,0.0048899575,-3.094632981399999,3.7911,4,Monoclinic,2/m,C2/m,oxide,,Sr,Ta,,In,,"O, S",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0022584433712702
mp-1080719,Sr2YTaO6,1.985677468139326,0.0095476420988159,Octahedron,1,1b,1,[7.556598599790555e-06],0.0,7.556598599790555e-06,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",SCAN,O-Sr-Ta-Y,0.017271496499999,-3.569693758733333,3.825799999999999,4,Tetragonal,4/m,I4/m,oxide,,Sr,"Y, Ta",,,,"O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9874333818436998
mp-1086666,Sr2TaInO6,2.0003898818770733,0.0069976404142798,Octahedron,1,1b,1,[4.0654099398288664e-06],0.0,4.0654099398288664e-06,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA,In-O-Sr-Ta,0.009728911499998,-3.089794027400001,3.930799999999999,4,Tetragonal,4/m,I4/m,oxide,,Sr,Ta,,In,,"O, S",I,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0016779203853488
mp-1096815,Ba3Ta4NbO15,2.0333739026425617,-0.099861522245201,Octahedron,1,8j,1,[0.170595792329922],0.0,0.170595792329922,AB3C4D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Nb-O-Ta,0.00075972604892,-3.387424732362319,0.0,4,Tetragonal,4/mmm,P4/mbm,oxide,,Ba,"Nb, Ta",,,B,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0161794749231263
mp-1096858,Ba3TaNb4O15,2.0189324542624187,-0.0378186308888603,no_data,1,no_data,1,no_data,0.0,no_data,AB3C4D15,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.0,4.0,4.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Transition Metals",GGA,Ba-Nb-O-Ta,0.00022375702176,-3.254193587492754,0.0,4,Tetragonal,4/mmm,P4/mbm,oxide,,Ba,"Nb, Ta",,,B,"N, O",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,2.0014556146871283
mp-1100882,Y7Ta3O18,1.909280224586588,0.5320242818111189,"Cube, Face-capped octahedron, Octahedron",3,"1a, 2i, 1g",3,"[0.5473221582602961, 0.558923911330511, 3.432661753212086, 1.5334604554768592]",0.0,1.518092069569938,A3B7C18,3,3,1,"[6.0, 7.0, 8.0]","[6.0, 7.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Ta-Y,0.033798266428572,-3.668556619,2.9334,3,Triclinic,-1,P-1,oxide,,,"Y, Ta",,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.0620548908781013
mp-1100937,Y10Ta4O25,1.9256779314451613,0.4928718137766224,"Cube, Octahedron",2,"1a, 1b",2,"[1.6236566064274092, 2.7683187555754722, 3.09300386338822, 3.076065369987139, 3.073417659846816, 3.026969539441944, 2.97199480474527, 1.554622665197928]",0.0,2.648506158076275,A4B10C25,2,2,1,"[6.0, 8.0]","[6.0, 8.0]",7.0,6.0,8.0,7.0,6.0,8.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Ta-Y,0.048111328333344,-3.664083699213681,3.0184,3,Monoclinic,m,Pm,oxide,,,"Y, Ta",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.051832163279482
mp-1101181,Y11Ta5O28,1.9584010970243035,0.2782882796576633,Octahedron,1,"4j, 1d",2,"[0.5369649817069451, 1.6965991411284351]",0.0,1.1167820614176902,A5B11C28,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,4.6,4.6,4.6,1.0,1,1,Ta4.60+-O2-,"Nonmetals, Transition Metals",GGA,O-Ta-Y,0.0335150856591,-3.638670805743952,0.345699999999999,3,Monoclinic,2/m,C2/m,oxide,,,"Y, Ta",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0297268367407306
mp-1101314,Tb3TaO7,1.9379074146998736,0.2391326683381177,Octahedron,1,2a,1,[0.7355579032867721],0.0,0.7355579032867721,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,O-Ta-Tb,0.0,-3.747132649757576,3.4485,3,Orthorhombic,222,C222_1,oxide,,,Ta,,,,O,,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,1.983171689223628
mp-1101326,Ta3AgO8,1.976624244509672,0.3408652341887691,"Pentagonal bipyramid, Dodecahedron with triangular faces - p2345 plane normalized",2,"4j, 2b",2,"[1.795197738682654, 0.536372346718339]",0.0,1.1657850427004965,AB3C8,2,2,1,"[7.0, 8.0]","[7.0, 8.0]",7.5,7.0,8.0,7.5,7.0,8.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,Ag-O-Ta,0.043633728125001,-2.924063244055554,2.0967,3,Orthorhombic,mmm,Ibam,oxide,,,"Ag, Ta",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0888281395185033
mp-1101372,TbTa3O9,1.9202054562490936,0.3688694215700696,Octahedron,1,2i,1,"[0.614596575432175, 0.40761267071676704, 0.695184154586675]",0.0,0.5724644669118724,AB3C9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,O-Ta-Tb,0.044511089615394,-3.275028497076936,2.2515,3,Monoclinic,2/m,C2/m,oxide,,,Ta,,,,O,,,Tb,,"B $\in$ [0.1, 0.5]",Positive B,1.9873809441298036
mp-1101443,NdTa3O9,1.9200504619552383,0.3959399520414763,Octahedron,1,2i,1,"[0.311058502196336, 0.5228665862835561, 0.469155453023654]",0.0,0.434360180501182,AB3C9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",GGA,Nd-O-Ta,0.020045916923113,-3.286801614192272,2.2375,3,Monoclinic,2/m,C2/m,oxide,,,Ta,,,,"N, O",,,Nd,,"B $\in$ [0.1, 0.5]",Positive B,1.990730231436464
mp-1102291,La3TaO7,1.9777881589888149,0.1030829653433403,Octahedron,1,1b,1,[0.08583724650763401],0.0,0.08583724650763401,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",r2SCAN,La-O-Ta,0.024189620909091,-3.658281612939393,3.5388,3,Orthorhombic,mmm,Cmmm,oxide,,,Ta,,,,O,,,La,,"B $\in$ [0.1, 0.5]",Positive B,1.9975594514140083
mp-1103389,Sr3Ta2ZnO9,1.766406266454215,1.2645704322982148,Octahedron,1,2d,1,[0.048916633186053],0.0,0.048916633186053,AB2C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,O-Sr-Ta-Zn,0.00981302655556,-3.225355410644444,3.4116,4,Trigonal,-3m,P-3m1,oxide,,Sr,"Zn, Ta",,,,"O, S",,,,,B > 1,Positive B,1.9990330618812129
mp-1103508,Sr3MgTa2O9,1.7559742920950314,1.3652735272382224,Octahedron,1,2d,1,[0.058151031378946005],0.0,0.058151031378946005,AB2C3D9,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Transition Metals",GGA,Mg-O-Sr-Ta,0.0,-3.430443482311112,3.2619,4,Trigonal,-3m,P-3m1,oxide,,"Mg, Sr",Ta,,,,"O, S",,,,,B > 1,Positive B,2.0071254876989317
mp-1104837,Ta2O5,1.9068590471265767,0.5452001296122425,"Pentagonal bipyramid, Octahedron",2,1a,1,"[0.418224380827214, 0.423074528212863, 1.5392683244956582, 1.237606420523658]",0.0,0.9045434135148483,A2B5,2,2,1,"[6.0, 7.0]","[6.0, 7.0]",6.5,6.0,7.0,6.5,6.0,7.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA,O-Ta,0.044490446428572,-3.047030102095237,2.0252,2,Orthorhombic,mmm,Pmma,oxide,,,Ta,,,,O,,,,,"B $\in$ [0.5, 1]",Positive B,2.068102560890191
mp-11321,Y3TaO7,1.9398645877491203,0.2166479589248706,Octahedron,1,2a,1,[0.7518894439792131],0.0,0.7518894439792131,AB3C7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Ta-Y,0.0,-3.737242662030305,3.5002,3,Orthorhombic,222,C222_1,oxide,,,"Y, Ta",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9808764451472278
mp-1173088,Ca10TaTi8Al(SiO5)10,1.9100620689411336,0.4522598321446215,Octahedron,1,1e,1,[0.099310532119527],0.0,0.099310532119527,ABC8D10E10F50,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Ca-O-Si-Ta-Ti,0.002401806937498,-3.468271934925,2.7784,6,Triclinic,-1,P-1,oxide,,Ca,"Ti, Ta",,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9963717050426588
mp-1173107,TaVO4,1.9383248701665905,0.3696912753306272,Octahedron,1,2a,1,[0.5627558652793611],0.0,0.5627558652793611,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",GGA_U,O-Ta-V,0.035255119166659,-3.004181661222221,0.0,3,Orthorhombic,mmm,Cmmm,oxide,,,"V, Ta",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0066247912360655
mp-1173109,TaTiO4,1.9829711944908488,0.1379220213587299,Octahedron,1,1a,1,[0.30153816383297205],0.0,0.30153816383297205,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Nonmetals, Transition Metals",r2SCAN,O-Ta-Ti,0.027034855833331,-3.118446279000002,0.0,3,Orthorhombic,mmm,Cmmm,oxide,,,"Ti, Ta",,,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0084522961103466
mp-1173115,TaFeO4,1.9658029030420388,0.2094072139007312,Octahedron,1,4d,1,[0.47514631492142406],0.0,0.47514631492142406,ABC4,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA_U,Fe-O-Ta,0.035644017916665,-2.638338972472221,1.6022,3,Orthorhombic,mmm,Cmmm,oxide,,,"Fe, Ta",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.004490453724622
mp-1173139,Ta2FeO6,1.925819709167829,0.452984749860138,Octahedron,1,"2b, 4c",2,"[0.295039770503909, 0.37057924748160503, 0.527664963844225, 0.506510595086286]",0.0,0.42494864422900624,AB2C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA_U,Fe-O-Ta,0.009287626296366,-2.967122132555556,2.3554,3,Orthorhombic,222,P2_12_12,oxide,,,"Fe, Ta",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.011283537506154
mp-1173143,Ta2FeO6,1.9242189007309445,0.4502414408987811,Octahedron,1,"1a, 1d, 2e",3,"[0.12383896142874201, 0.48376588141070104, 0.30659414350429803, 0.48175088615936, 0.366597457025762, 0.47416728221765103, 0.49845566010882303, 0.561485854898928]",0.0,0.41208201584428317,AB2C6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Halogens, Nonmetals, Transition Metals",GGA_U,Fe-O-Ta,0.008014888703774,-2.968394870148148,2.1644,3,Monoclinic,2,P2,oxide,,,"Fe, Ta",,,,O,F,,,,"B $\in$ [0.1, 0.5]",Positive B,2.0099742174219526
mp-1173168,SrLaTaNiO6,1.9814530758520583,0.1365307331229567,Octahedron,1,1a,1,"[0.062822720012326, 0.137192505292697, 0.07079312519047701, 0.062972704851147, 0.09780760620216601]",0.0,0.08631773230976261,ABCDE6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,La-Ni-O-Sr-Ta,0.021337363277798,-3.123183276233334,2.2954,5,Monoclinic,m,Cm,oxide,,Sr,"Ni, Ta",,,,"N, O, S",,,La,,"B $\in$ [0.1, 0.5]",Positive B,2.0033383633762627
mp-1173237,Sr3Ta7Si(BiO4)9,1.910500644697988,0.6202627245945497,"Square pyramid, Octahedron",2,1a,1,"[0.34009715384077605, 0.187255702092079, 0.632825364909543, 0.35025510704545404, 0.311130050418543, 0.645290964252867, 0.262739568440424]",0.0,0.3899419872856695,AB3C7D9E36,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Bi-O-Si-Sr-Ta,0.038167260848238,-2.709408253238097,2.4402,5,Triclinic,1,P1,oxide,,Sr,Ta,,Bi,"B, Si","O, S",,,,,"B $\in$ [0.5, 1]",Positive B,2.0145586573112104
mp-1173242,Sr3LaTa2(CoO6)2,1.8797975015872108,0.5361701604473254,Octahedron,1,"1b, 1c",2,"[0.13929136976279602, 0.036746243051476, 0.028182404329751002, 0.061740794162213]",0.0,0.066490202826559,AB2C2D3E12,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA_U,Co-La-O-Sr-Ta,0.037856047041659,-2.9865950187333343,0.0,5,Orthorhombic,mm2,Pmm2,oxide,,Sr,"Co, Ta",,,,"C, O, S",,,La,,"B $\in$ [0.5, 1]",Positive B,1.9839851192407547
mp-1173254,Sr2SmTa(CuO4)2,1.7154809957872093,1.546186669905515,Octahedron,1,2e,1,[0.008171685958118001],0.0,0.008171685958118001,ABC2D2E8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",GGA,Cu-O-Sm-Sr-Ta,0.014535492857137,-2.787253500166666,0.0,5,Monoclinic,2/m,C2/m,oxide,,Sr,"Cu, Ta",,,,"C, O, S",,,Sm,,B > 1,Positive B,1.9974841576320257
