material_id,chem_formula,R$_0$,B,Ho_chemenv,num_Ho_chemenvs,Ho_wyckoff,num_Ho_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Ho_sites,num_CN_env,num_charge_states,HoX_coordn,HoO_coordn,mean_coordn_Ho-X,min_coordn_Ho-X,max_coordn_Ho-X,mean_coordn_Ho-O,min_coordn_Ho-O,max_coordn_Ho-O,mean_Ho_charge,min_Ho_charge,max_Ho_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,mean_HoO_BondL,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B
mp-1178175,Ho2Pb2O7,2.013199183186313,0.41558735114343487,Cube,1,4d,1,[0.717167948186557],0.0,0.717167948186557,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",2.4276439807005277,r2SCAN,Ho-O-Pb,0.0,-2.546348146818181,1.1706,3,Cubic,m-3m,Fd-3m,oxide,None,None,None,None,Pb,None,"H, O, P",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1178177,Ho2V2O7,1.6807139080416125,0.6899009354158737,Cube,1,4c,1,[1.924368799206199],0.0,1.924368799206199,A2B2C7,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.368714849404225,r2SCAN,Ho-O-V,0.009340272954544001,-3.241677890909092,1.2503,3,Cubic,m-3m,Fd-3m,oxide,None,None,V,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1181527,Eu2HoTaO6,2.2616129995900183,-0.014908927906487745,Octahedron,1,2b,1,[0.048538893814692],0.0,0.048538893814692,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.251256601904607,GGA,Eu-Ho-O-Ta,0.0,-3.580571941733335,0.0,4,Monoclinic,2/m,P2_1/c,oxide,None,None,Ta,None,None,None,"H, O",None,None,"Eu, Ho",None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1188447,Ca2HoTaO6,2.242032812181617,0.0048891013344806635,Octahedron,1,2a,1,[0.044236374488971004],0.0,0.044236374488971004,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.2454287616290336,GGA,Ca-Ho-O-Ta,0.005196382187508001,-3.615605410733333,4.054699999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Ca,Ta,None,None,None,"H, C, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1189408,Sr2HoTaO6,2.2378816034772724,0.02020400527427435,Octahedron,1,2d,1,[0.049840279808242],0.0,0.049840279808242,ABC2D6,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Transition Metals",2.2519170275696343,GGA,Ho-O-Sr-Ta,0.0,-3.609102822733333,3.855199999999999,4,Monoclinic,2/m,P2_1/c,oxide,None,Sr,Ta,None,None,None,"H, O, S",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1190336,Ho2CoTe2(SO7)2,2.1912154370983545,0.22476645903749937,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.8768230294640533],0.0,2.8768230294640533,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.397716558277776,GGA_U,Co-Ho-O-S-Te,0.0,-2.337953107063491,3.0518,5,Triclinic,-1,P-1,oxide,None,None,Co,None,None,Te,"H, C, O, S",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1190350,Ho2ZnTe2(SO7)2,2.1977100936299214,0.21940493492771557,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[2.793387945542028],0.0,2.793387945542028,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.399215014307522,GGA,Ho-O-S-Te-Zn,0.004480191746038,-2.375672215158729,3.9851,5,Triclinic,-1,P-1,oxide,None,None,Zn,None,None,Te,"H, O, S",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1190440,Ho2CuTe2(SO7)2,2.1381449068502514,0.2747274290977867,Dodecahedron with triangular faces - p2345 plane normalized,1,2i,1,[3.016274735249999],0.0,3.016274735249999,AB2C2D2E14,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.395755086643932,GGA,Cu-Ho-O-S-Te,0.015440217936530002,-2.282353278968253,0.8660000000000001,5,Triclinic,-1,P-1,oxide,None,None,Cu,None,None,Te,"H, C, O, S",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1191729,LiHo(WO4)2,2.267678394834564,0.011834348295428409,Octahedron,1,2e,1,[1.08420952835856],0.0,1.08420952835856,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.2767602160680376,GGA_U,Ho-Li-O-W,0.0,-2.666756416527777,3.7911,4,Monoclinic,2/m,P2/c,oxide,Li,None,W,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1192188,KHo(WO4)2,2.2712691517240473,0.017588286599326146,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,[2.008622663272273],0.0,2.008622663272273,ABC2D8,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.2842611432058395,GGA_U,Ho-K-O-W,0.0,-2.6804663364374983,3.340999999999999,4,Monoclinic,2/m,C2/c,oxide,K,None,W,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1192403,Na5Ho4Si4O16F,3.8902402108034195,-1.5701695397181432,Square-face bicapped trigonal prism,1,4g,1,[1.5566041191292022],0.0,1.5566041191292022,AB4C4D5E16,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,2.0,2,2,O2-,"Alkali Metals, Halogens, Lanthanides, Metalloids, Nonmetals",2.3446201643404145,r2SCAN,F-Ho-Na-O-Si,0.0,-3.3219412910632142,4.7593,5,Tetragonal,-4,I-4,fluoride,Na,None,None,None,None,Si,"H, N, O, S",F,None,Ho,None,B < -1,Negative B
mp-1192451,HoWBrO4,2.0613744198864388,0.2687615374856692,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2,2i,1,"[1.7287309132299362, 2.814654123548642]",0.0,2.271692518389289,ABCD4,2,2,1,"[4.0, 6.0]","[4.0, 6.0]",5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.3129002611834952,GGA_U,Br-Ho-O-W,0.040322805059522,-2.665364907857142,2.6863,4,Triclinic,-1,P-1,perbromate,None,None,W,None,None,B,"H, O",Br,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1192630,K3Ho(PO4)2,2.2149824589858595,0.20697950092486916,Square-face capped trigonal prism,1,2e,1,[1.584645795295057],0.0,1.584645795295057,AB2C3D8,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.3640137643026313,GGA,Ho-K-O-P,0.0,-2.980516285431121,5.0659,4,Monoclinic,2/m,P2_1/m,phosphate,K,None,None,None,None,None,"H, O, P",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1193901,HoMoBrO4,1.9817633820232796,0.3653880296682719,"Square-face capped trigonal prism, Dodecahedron with triangular faces - p2345 plane normalized",2,2i,1,"[1.529964567578181, 2.716848338653382]",0.0,2.1234064531157815,ABCD4,2,2,1,"[5.0, 6.0]","[5.0, 6.0]",5.5,5.0,6.0,5.5,5.0,6.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.363629252155111,GGA_U,Br-Ho-Mo-O,0.0,-2.591267165714285,1.8564,4,Triclinic,-1,P-1,perbromate,None,None,Mo,None,None,B,"H, O",Br,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1194202,BaHoFe4O7,2.086463677029939,0.2875435692333115,Octahedron,1,2a,1,[0.7461124615297411],0.0,0.7461124615297411,ABC4D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Lanthanides, Metalloids, Nonmetals, Transition Metals",2.286808093695285,GGA_U,Ba-Fe-Ho-O,0.014844236133241002,-2.239383223846152,0.07889999999999901,4,Monoclinic,2,P2_1,oxide,None,Ba,Fe,None,None,B,"H, O",F,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1194989,Na2Ho2B2TeO10,1.4926814865012727,1.0247748076368448,Square-face capped trigonal prism,1,4e,1,[2.562266654809007],0.0,2.562266654809007,AB2C2D2E10,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.3259263960384655,GGA,B-Ho-Na-O-Te,0.0,-2.854732783691683,2.9344,5,Monoclinic,2/m,P2_1/c,oxide,Na,None,None,None,None,"B, Te","H, N, O",None,None,Ho,None,B > 1,Positive B
mp-1195109,HoP4HO12,2.1116930636057263,0.2318780985324067,Pentagonal bipyramid,1,4e,1,[2.988451053655703],0.0,2.988451053655703,ABC4D12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.3153659053981612,GGA,H-Ho-O-P,0.0,-2.786278210128967,5.5976,4,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,None,"H, O, P",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1195358,Ho2SeOF2,2.3067546184342964,-0.06024514950557678,"Square-face bicapped trigonal prism, Tricapped triangular prism (three square-face caps)",2,6h,1,"[1.342899934506234, 3.057751380145756]",0.0,2.200325657325995,ABC2D2,2,2,1,"[1.0, 3.0]","[1.0, 3.0]",2.0,1.0,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3,3,O2-,"Halogens, Lanthanides, Nonmetals",2.2612953734044887,GGA,F-Ho-O-Se,0.004641249027820001,-3.744095654357608,2.8657999999999992,4,Hexagonal,6/m,P6_3/m,fluoride,None,None,None,None,None,None,"H, O, S, Se",F,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1195468,NaHo(PO3)4,2.05726721114313,0.3346576329652649,Square antiprism,1,4e,1,[0.893706541179008],0.0,0.893706541179008,ABC4D12,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.387447381994955,GGA,Ho-Na-O-P,0.010929693472226,-2.9035191138861522,5.8251,4,Monoclinic,2/m,P2_1/c,phosphite,Na,None,None,None,None,None,"H, N, O, P",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1195686,BaHo4Si5O17,2.00060470134365,0.40764810210938285,Octahedron,1,4f,1,"[4.343376464856623, 3.789848236964922]",0.0,4.0666123509107726,AB4C5D17,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Metalloids, Nonmetals",2.278587630294978,GGA,Ba-Ho-O-Si,0.0,-3.642563102962962,4.770399999999999,4,Monoclinic,2/m,P2_1/m,oxide,None,Ba,None,None,None,"B, Si","H, O, S",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1195700,Na3HoSi2O7,2.6443312097810914,-0.5423574817789192,"Trigonal prism, Octahedron",2,"2a, 4f",2,"[0.031373722646606005, 0.132885799442269]",0.0,0.0821297610444375,AB2C3D7,2,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals",2.2682971495834576,GGA,Ho-Na-O-Si,0.0,-3.052820713908047,3.969999999999999,4,Hexagonal,6/m,P6_3/m,oxide,Na,None,None,None,None,Si,"H, N, O, S",None,None,Ho,None,"B $\in$ [-1, -0.1]",Negative B
mp-1195820,Ho9Sb5CO4,1.7990690546818855,0.7031136612507137,"Single neighbor, See-saw",2,"8g, 2c",2,"[0.0, 0.0, 3.6947030979730773]",0.0,1.2315676993243592,AB4C5D9,2,3,1,"[3.0, 0, 1.0]","[3.0, 0, 1.0]",1.3333333333333333,0.0,3.0,2.0,0.0,3.0,3.0,3.0,3.0,2.3333333333333335,2,3,O2-,"Lanthanides, Metalloids, Nonmetals",2.249026979232009,GGA,C-Ho-O-Sb,0.0,-2.099986799078944,0.0,4,Tetragonal,4/m,P4/n,oxide,None,None,None,None,None,Sb,"H, C, O, S",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1196327,Ho2(MoO4)3,1.9868426791881553,0.40562210969346735,Square-face capped trigonal prism,1,4c,1,"[3.445427063987737, 3.324382269215093]",0.0,3.3849046666014146,A2B3C12,1,1,1,[7.0],[7.0],7.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Transition Metals",2.324377682473911,GGA_U,Ho-Mo-O,0.002296321323528,-2.654327705735294,3.3258,3,Orthorhombic,mm2,Pba2,oxide,None,None,Mo,None,None,None,"H, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1198978,HoSbMo2O9,2.384870720396115,-0.010802487087784005,Dodecahedron with triangular faces - p2345 plane normalized,1,2e,1,"[0.43657757323948304, 1.352134415511351]",0.0,0.894355994375417,ABC2D9,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Metalloids, Nonmetals, Transition Metals",2.373814189900357,GGA_U,Ho-Mo-O-Sb,0.01787859798083,-2.376787321346154,3.1837,4,Monoclinic,2/m,C2/c,oxide,None,None,Mo,None,None,Sb,"H, O, S",None,None,Ho,None,"B $\in$ [-0.1, 0.1]",B $\approx$ 0
mp-1200859,Na2HoPWO8,1.9496359076634266,0.4578821674229069,Dodecahedron with triangular faces - p2345 plane normalized,1,4d,1,[0.5163183851842941],0.0,0.5163183851842941,ABCD2E8,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.362736928212901,GGA_U,Ho-Na-O-P-W,0.007138913461550001,-2.803679728646266,4.789,5,Orthorhombic,mmm,Ibca,oxide,Na,None,W,None,None,None,"H, N, O, P",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1200900,Ho(NO3)3,2.195758857468646,0.23222047126552076,Square-face bicapped square antiprism,1,4e,1,[3.7258942683443372],0.0,3.7258942683443372,AB3C9,1,1,1,[10.0],[10.0],10.0,10.0,10.0,10.0,10.0,10.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.468827056462211,GGA,Ho-N-O,0.0,-1.452956634038463,3.2838,3,Monoclinic,2/m,P2_1/c,nitrate,None,None,None,None,None,None,"H, N, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1201273,HoHSO5,1.8874011875030654,0.5259032162892542,Square antiprism,1,4e,1,"[1.070129916562454, 1.058573622751175]",0.0,1.0643517696568146,ABCD5,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals",2.3968866453095283,GGA,H-Ho-O-S,0.008201250625003001,-2.2815433297786463,5.7946,4,Monoclinic,2/m,P2_1/c,oxide,None,None,None,None,None,None,"H, O, S",None,None,Ho,None,"B $\in$ [0.5, 1]",Positive B
mp-1201547,Ho4BClO7,1.958168237058048,0.4517297760912237,"Face-capped octahedron, Square-face capped trigonal prism, Trigonal prism",3,4e,1,"[2.078158066374714, 4.286372642509576, 7.719759009135488, 2.029877278072268]",0.25,4.028541749023011,ABC4D7,3,4,1,"[5.0, 6.0, 6.0, 7.0]","[5.0, 6.0, 6.0, 7.0]",6.0,5.0,7.0,6.0,5.0,7.0,3.0,3.0,3.0,1.5,1,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",2.316230433540149,GGA,B-Cl-Ho-O,0.0,-3.73784134455128,4.773199999999999,4,Monoclinic,2/m,P2_1/c,hypochlorite,None,None,None,None,None,B,"H, C, O",Cl,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1203462,NaHoP2O7,2.0473058772573682,0.27124003580021394,Octahedron,1,4e,1,[1.3321636211735441],0.0,1.3321636211735441,ABC2D7,1,1,1,[6.0],[6.0],6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals",2.2375142873128073,r2SCAN,Ho-Na-O-P,0.002587293030303,-3.112327446878637,5.3517,4,Monoclinic,2/m,P2_1/c,oxide,Na,None,None,None,None,None,"H, N, O, P",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1203708,KHo2Cu(MoO4)4,2.101720912372527,0.3180611358337839,Dodecahedron with triangular faces - p2345 plane normalized,1,4f,1,[2.266627469349231],0.0,2.266627469349231,ABC2D4E16,1,1,1,[8.0],[8.0],8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Nonmetals, Transition Metals",2.3891909469717225,GGA_U,Cu-Ho-K-Mo-O,0.027505584166661,-2.391861260927083,1.1526,5,Monoclinic,2/m,C2/c,oxide,K,None,"Cu, Mo",None,None,None,"H, C, O",None,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1203766,Ho5B2(O2F3)3,1.961889834532102,0.39570168114317755,"Square-face monocapped antiprism, Tricapped triangular prism (three square-face caps)",2,"4f, 2e",2,"[1.017718816516917, 1.622724410230501, 2.125754044082827]",0.0,1.5887324236100817,A2B5C6D9,2,2,1,"[3.0, 4.0]","[3.0, 4.0]",3.5,3.0,4.0,3.5,3.0,4.0,3.0,3.0,3.0,2.0,2,2,O2-,"Halogens, Lanthanides, Metalloids, Nonmetals",2.3878846402303395,GGA,B-F-Ho-O,0.017331564999998002,-4.032061431287878,6.0236,4,Monoclinic,2/m,C2/c,fluoride,None,None,None,None,None,B,"H, O",F,None,Ho,None,"B $\in$ [0.1, 0.5]",Positive B
mp-1208627,SrHo2Al2O7,0.35806315574749614,1.980462430447916,Tricapped triangular prism (three square-face caps),1,2e,1,[3.254145795723174],0.0,3.254145795723174,AB2C2D7,1,1,1,[9.0],[9.0],9.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Lanthanides, Nonmetals, Post-Transition Metals",2.4860542204836698,GGA,Al-Ho-O-Sr,0.047242321770832006,-3.648561199583332,4.0235,4,Tetragonal,4/mmm,I4/mmm,oxide,None,Sr,None,None,Al,None,"H, O, S",None,None,Ho,None,B > 1,Positive B
