material_id,chem_formula,R$_0$,B,Al_chemenv,num_Al_chemenvs,Al_wyckoff,num_Al_wyckoff_pos,csm,distortion degree,mean csm,formula_anonymous,num_Al_sites,num_CN_env,num_charge_states,mean_coordn_Al-X,min_coordn_Al-X,max_coordn_Al-X,mean_coordn_Al-O,min_coordn_Al-O,max_coordn_Al-O,mean_Al_charge,min_Al_charge,max_Al_charge,mean_num_X_species,min_num_X_species,max_num_X_species,species,elements,calculation type,chemsys,e_hull,e_f,band gap,nelements,crystal,point group,space group,type,Alkali Metals,Alkaline Earth Metals,Transition Metals,Unknown Metals,Post-Transition Metals,Metalloids,Nonmetals,Halogens,Noble Gases,Lanthanides,Actinides,B_range,ranges of B,mean_AlO_BondL,AlX_coordn,AlO_coordn
mp-1019575,Ca4Al6SO16,1.7514281972380972,0.0527652243660946,Tetrahedron,1,"2c, 2d, 4e, 2b, 2a",5,"[1.23865778474969, 0.5420779761588769, 0.21005841880079706, 0.9427875315150747, 0.49427999520723953, 0.4022544880292302, 0.6715414446259192, 0.3939662072036116]",0.0,0.6119529807863049,AB4C6D16,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-S,0.0,-3.2932241745370363,4.4065,4,Orthorhombic,mm2,Pcc2,oxide,,Ca,,,Al,,"C, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7666580473389562,[4.0],[4.0]
mp-1019583,CaAl2SiO6,1.625205424085102,0.537347763207643,"Octahedron, Tetrahedron",2,4e,1,"[0.5449909012188184, 1.0820097305334688]",0.0,0.8135003158761436,ABC2D6,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.0492495236388697,-3.3932147655,4.291799999999999,4,Monoclinic,2/m,P2_1/c,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.5, 1]",Positive B,1.888573978778099,"[4.0, 6.0]","[4.0, 6.0]"
mp-1019584,CaAl2SiO6,1.6284880438834903,0.4786385753894825,"Octahedron, Tetrahedron",2,"2e, 4g, 2f",3,"[0.47214977560492766, 1.0214801342522852, 1.1604907049583084]",0.0,0.8847068716051738,ABC2D6,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.0167911771388693,-3.425673112,4.605699999999999,4,Monoclinic,2/m,P2/c,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.888779860401599,"[4.0, 6.0]","[4.0, 6.0]"
mp-1019586,CaAl2SiO6,1.6534316431371157,0.4299802876216706,"Octahedron, Tetrahedron",2,"1a, 1b, 2c",3,"[0.486987993239414, 1.189322810391389, 0.8699518613240997]",0.0,0.8487542216516344,ABC2D6,2,2,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ca-O-Si,0.0168240496388696,-3.4256402394999994,4.536299999999999,4,Monoclinic,2,C2,oxide,,Ca,,,Al,Si,"C, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8866448210296831,"[4.0, 6.0]","[4.0, 6.0]"
mp-1019602,Cs2Al2B2O7,1.5048268314060873,0.8837991957520271,Tetrahedron,1,4e,1,[0.22841488919002664],0.0,0.22841488919002664,A2B2C2D7,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-B-Cs-O,0.0,-2.9737710392418206,4.2490000000000006,4,Monoclinic,2/m,P2_1/c,oxide,Cs,,,,Al,B,"C, O",,,,,"B $\in$ [0.5, 1]",Positive B,1.7591986571930778,[4.0],[4.0]
mp-1019720,CsZr2Al(PO4)4,1.6245919973881506,0.4413458306475425,Tetrahedron,1,4d,1,[0.21693262619934564],0.0,0.21693262619934564,ABC2D4E16,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Cs-O-P-Zr,0.0,-3.166975768988607,4.0152,5,Orthorhombic,mmm,Pbcm,phosphate,Cs,,Zr,,Al,,"C, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7513775509925764,[4.0],[4.0]
mp-1019732,EuAl2O4,1.7414862936473774,0.0513222888587431,Tetrahedron,1,2a,1,"[0.2748519223779558, 0.17079469218010068, 0.16062215121301343, 0.19796324986452613]",0.0,0.201058003908899,AB2C4,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Lanthanides, Nonmetals, Post-Transition Metals",R2SCAN,Al-Eu-O,0.0,-3.4106681425000005,0.0991999999999997,3,Monoclinic,2,P2_1,oxide,,,,,Al,,O,,,Eu,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7563434161094142,[4.0],[4.0]
mp-1019744,K2Al2Si3O10,1.7329875093359146,0.1118619626206905,Tetrahedron,1,4b,1,[0.08658881256885177],0.0,0.08658881256885177,A2B2C3D10,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-K-O-Si,0.0179984809558817,-3.1880472629117653,4.3747,4,Orthorhombic,mm2,Fdd2,oxide,K,,,,Al,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.765627607704524,[4.0],[4.0]
mp-1019774,K2CeAl(SiO3)4,1.708513385888112,0.1658336656119827,Tetrahedron,1,4f,1,[0.08834676947559428],0.0,0.08834676947559428,ABC2D4E12,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Lanthanides, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ce-K-O-Si,0.0,-3.257767514225,0.2709000000000001,5,Monoclinic,2/m,C2/c,oxide,K,,,,Al,Si,"C, O, S",,,Ce,,"B $\in$ [0.1, 0.5]",Positive B,1.7563753094360277,[4.0],[4.0]
mp-1019802,KAl(PO3)4,1.195114258269666,1.027397144662706,Octahedron,1,2e,1,[0.024676051930753458],0.0,0.024676051930753458,ABC4D12,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Al-K-O-P,0.0011541809722226,-2.7939400700456343,5.1797,4,Monoclinic,2/m,C2/m,phosphite,K,,,,Al,,"O, P",,,,,B > 1,Positive B,1.907322251672648,[6.0],[6.0]
mp-1019803,KAl9O14,1.6642478737570912,0.4081439212995755,"Octahedron, Trigonal bipyramid, Tetrahedron",3,"4e, 2a",2,"[0.9122443179314057, 0.5239376775809955, 0.9862228056030082, 0.8856110983584267, 1.0601135555239551]",0.0,0.8736258909995585,AB9C14,3,3,1,5.0,4.0,6.0,5.0,4.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",GGA,Al-K-O,0.0099673130572632,-3.35195488946875,4.1426,3,Monoclinic,2/m,P2_1/c,oxide,K,,,,Al,,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8689384527042043,"[4.0, 5.0, 6.0]","[4.0, 5.0, 6.0]"
mp-1020023,Li3AlSiO5,1.691844562733838,0.3099737368168841,Tetrahedron,1,4a,1,[0.0573187839652511],0.0,0.0573187839652511,ABC3D5,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Li-O-Si,0.0,-2.972560550750001,4.4558,4,Orthorhombic,mm2,Pna2_1,oxide,Li,,,,Al,Si,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7802001532492615,[4.0],[4.0]
mp-1020030,LiAl(GeO3)2,1.845185500791277,0.1336740056832507,Octahedron,1,4e,1,[2.3971434313932143],0.0,2.3971434313932143,ABC2D6,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Ge-Li-O,0.0424963765000008,-2.5016620248333323,3.383,4,Monoclinic,2/m,P2_1/c,oxide,Li,,,,Al,Ge,O,,,,,"B $\in$ [0.1, 0.5]",Positive B,1.9386311093837527,[6.0],[6.0]
mp-1020141,Na2Al2Si3O10,1.7525512981962743,0.060034623448481,Tetrahedron,1,2c,1,"[0.6728166385355069, 0.1188081896182839]",0.0,0.3958124140768954,A2B2C3D10,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Na-O-Si,0.0440221089338095,-3.125571233103449,4.4513,4,Monoclinic,2,C2,oxide,Na,,,,Al,Si,"N, O, S",,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.7699839176340764,[4.0],[4.0]
mp-1020163,Na3Li2Al(SiO4)2,1.980786388862287,-0.7382691050642375,Tetrahedron,1,4d,1,[0.14329344463438773],0.0,0.14329344463438773,AB2C2D3E8,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Li-Na-O-Si,0.0072236424218878,-2.8220662283315363,4.051,5,Orthorhombic,mmm,Cmce,silicate,"Li, Na",,,,Al,Si,"N, O, S",,,,,"B $\in$ [-1, -0.1]",Negative B,1.768322009524749,[4.0],[4.0]
mp-1020661,NaAl(SiO3)2,1.7223807303929544,0.1177458778684465,Tetrahedron,1,4f,1,"[0.5465854099097012, 0.3519885275343923]",0.0,0.44928696872204676,ABC2D6,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Metalloids, Nonmetals, Post-Transition Metals",GGA,Al-Na-O-Si,0.0138456554375006,-3.173057740262931,4.5444,4,Monoclinic,2/m,C2/c,oxide,Na,,,,Al,Si,"N, O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7564612733299327,[4.0],[4.0]
mp-1020715,Sr6Y2Al4O15,1.7498113439491607,0.102555831544187,Tetrahedron,1,2c,1,"[0.911954698132367, 0.4482287645299072]",0.0,0.6800917313311371,A2B4C6D15,1,1,1,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-O-Sr-Y,0.0077234118364195,-3.4453759178703702,3.9869,4,Monoclinic,2,C2,oxide,,Sr,Y,,Al,,"O, S",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.7796638789781465,[4.0],[4.0]
mp-1020724,Na7Al4P9O32,1.682830597066976,0.2982604790030417,Octahedron,1,8e,1,[0.26673928857333223],0.0,0.26673928857333223,A4B7C9D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Nonmetals, Post-Transition Metals",R2SCAN,Al-Na-O-P,0.0062667444391015,-2.848402606085401,4.7512,4,Tetragonal,-42m,P-42_1c,oxide,Na,,,,Al,,"N, O, P",,,,,"B $\in$ [0.1, 0.5]",Positive B,1.8914070878429268,[6.0],[6.0]
mp-1036528,LiMg14AlO16,0.8344679906776229,1.6795443489860886,Octahedron,1,1a,1,[0.16199796428343774],0.0,0.16199796428343774,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Li-Mg-O,0.0316931924218755,-3.011793901979166,4.081900000000001,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,,,Al,,O,,,,,B > 1,Positive B,2.0005500617893333,[6.0],[6.0]
mp-1036532,NaMg14AlO16,0.8442292315566678,1.667630177996008,Octahedron,1,1a,1,[0.30655121933696766],0.0,0.30655121933696766,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Mg-Na-O,0.0391181667968751,-2.9833974772306027,4.059900000000001,4,Orthorhombic,mmm,Pmmm,oxide,Na,Mg,,,Al,,"N, O",,,,,B > 1,Positive B,2.003843229686002,[6.0],[6.0]
mp-1036537,LiMg14AlO16,1.0338092327252024,1.3846257747272437,Octahedron,1,1a,1,[0.2189565619101785],0.0,0.2189565619101785,ABC14D16,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Li-Mg-O,0.0217394649218753,-3.021747629479166,4.285999999999999,4,Orthorhombic,mmm,Pmmm,oxide,Li,Mg,,,Al,,O,,,,,B > 1,Positive B,1.9966342870636664,[6.0],[6.0]
mp-1038199,NaMg30AlO32,0.8386213265978968,1.6613576690890668,Octahedron,1,1a,1,[0.00547632320296697],0.0,0.00547632320296697,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Mg-Na-O,0.0191318762109373,-3.010204851427801,4.3299,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,,,Al,,"N, O",,,,,B > 1,Positive B,1.990252776208,[6.0],[6.0]
mp-1038204,LiMg30AlO32,1.2009078023488882,1.127392259044389,Octahedron,1,1a,1,[0.046171792816453956],0.0,0.046171792816453956,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Li-Mg-O,0.0080932833984377,-3.0317291694270825,4.475700000000001,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,,,Al,,O,,,,,B > 1,Positive B,1.9831685726693329,[6.0],[6.0]
mp-1038206,NaMg30AlO32,0.8657441113380443,1.6152780449886772,Octahedron,1,1a,1,[0.09442052222492456],0.0,0.09442052222492456,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Mg-Na-O,0.0143517929296876,-3.0149849347090507,4.3813,4,Tetragonal,4/mmm,P4/mmm,oxide,Na,Mg,,,Al,,"N, O",,,,,B > 1,Positive B,1.9865334160333328,[6.0],[6.0]
mp-1038227,LiMg30AlO32,1.2305117988556002,1.0911067390936686,Octahedron,1,1a,1,[0.0023714613152913066],0.0,0.0023714613152913066,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkali Metals, Alkaline Earth Metals, Nonmetals, Post-Transition Metals",GGA,Al-Li-Mg-O,0.0118056133984376,-3.0280168394270826,4.4312000000000005,4,Tetragonal,4/mmm,P4/mmm,oxide,Li,Mg,,,Al,,O,,,,,B > 1,Positive B,1.98685174256,[6.0],[6.0]
mp-1038308,Mg30AlCuO32,0.5668328782006873,2.03029298674166,Octahedron,1,1a,1,[0.15076007013505327],0.0,0.15076007013505327,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA,Al-Cu-Mg-O,0.0244666537109381,-2.9737258001562488,1.2284999999999997,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Cu,,Al,,"C, O",,,,,B > 1,Positive B,1.9755896923256664,[6.0],[6.0]
mp-1038314,Mg30AlNiO32,0.3001702964662967,2.414463667493064,Octahedron,1,1a,1,[0.21309748342510648],0.0,0.21309748342510648,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Mg-Ni-O,0.0331169006640639,-2.969686326406249,1.7857000000000005,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Ni,,Al,,"N, O",,,,,B > 1,Positive B,1.975489785743333,[6.0],[6.0]
mp-1038340,Mg30AlCoO32,1.0459640173972908,1.3601553439684206,Octahedron,1,1a,1,[0.0036416763877990172],0.0,0.0036416763877990172,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Co-Mg-O,0.0336449163671872,-2.970395826875,1.1911999999999994,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Co,,Al,,"C, O",,,,,B > 1,Positive B,1.988826240580333,[6.0],[6.0]
mp-1038344,Mg30AlCoO32,0.8684543782175111,1.59794754041105,Octahedron,1,1a,1,[0.09328918128235375],0.0,0.09328918128235375,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Co-Mg-O,0.0295736551171872,-2.974467088125,1.3438000000000008,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Co,,Al,,"C, O",,,,,B > 1,Positive B,1.977219515981333,[6.0],[6.0]
mp-1038379,Mg30AlFeO32,0.5638295841204959,2.0377330371060776,Octahedron,1,1a,1,[0.15151955212212403],0.0,0.15151955212212403,ABC30D32,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Alkaline Earth Metals, Halogens, Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Fe-Mg-O,0.0430383565234357,-2.963690431406249,0.8690999999999995,4,Tetragonal,4/mmm,P4/mmm,oxide,,Mg,Fe,,Al,,O,F,,,,B > 1,Positive B,1.9777459417889995,[6.0],[6.0]
mp-1041805,AlCr(WO4)2,2.02553136274231,-0.119654698692484,Octahedron,1,1a,1,"[0.3335361789443539, 0.3249881089522254]",0.0,0.3292621439482897,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-Cr-O-W,0.0459659229166664,-2.43302101625,1.5151000000000003,4,Monoclinic,2/m,P2/c,oxide,,,"Cr, W",,Al,,"C, O",,,,,"B $\in$ [-1, -0.1]",Negative B,1.9417037361375185,[6.0],[6.0]
mp-1042105,AlV(WO4)2,2.0073594122875886,-0.0925652063773798,Octahedron,1,"1d, 1a",2,"[0.3216721957656, 0.3383801064052571]",0.0,0.33002615108542854,ABC2D8,1,1,1,6.0,6.0,6.0,6.0,6.0,6.0,3.0,3.0,3.0,1.0,1,1,O2-,"Nonmetals, Post-Transition Metals, Transition Metals",GGA_U,Al-O-V-W,0.0216755991666648,-2.4813556658333327,1.7233999999999998,4,Monoclinic,2/m,P2/c,oxide,,,"V, W",,Al,,O,,,,,"B $\in$ [-0.1, 0.1]",B $\approx$ 0,1.9425167530366216,[6.0],[6.0]
